xxx_3320721223	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	经历些小挫折后，“心率实验”陷入了停滞状态。	經歷些小挫折後，「心率實驗」陷入了停滯狀態。	しかし、いくつかのつまずきがあって実験は中断中。	몇 가지 작은 좌절 끝에 '심박수 실험'은 정체 상태에 빠졌다.	After a few hiccups, the experiment had stalled.						0
2	芙提雅和研发团队忙着思考新的方向，倒是给了我和妮塔许多“自由活动”的时间。	芙提雅和研發團隊忙著思考新的方向，倒是給了我和妮塔許多「自由活動」的時間。	フリティアたちは対策を考え、私とニタはわりと「フリー」な時間を得ることになった。	프티야와 연구팀은 새로운 방향을 고민하느라 바빴고, 덕분에 나는 니타와 함께 보낼 수 있는 '자유 시간'이 많아졌다.	While Fritia and the R&D team brainstormed their next steps, Nita and I suddenly found ourselves with an unusual amount of "free time" together.						0
3	我走在前往妮塔房间的路上，心里一直酝酿着开导她的话语。	我走在前往妮塔房間的路上，心裡一直醞釀著開導她的話語。	ニタの部屋に向かいながら、どう励ませばいいか考えていたが…	나는 니타의 방으로 향하는 길에 그녀를 어떻게 위로할지 계속해서 생각했다.	As I made my way to her room, my head was busy spinning ideas — ways to cheer her up, things to say that might lift her spirits.						0
4	倒不是担心她因为这点小事就失去信心，我反而更忧心，她会给自己太大压力。	倒不是擔心她因為這點小事就失去信心，我反而更憂心，她會給自己太大壓力。	…ニタはそう簡単に落ち込む子じゃない。ただ、あまり自分にプレッシャーをかけすぎないかが心配だ。	사실 그녀가 이런 작은 일로 쉽게 자신감을 잃을 거라고는 생각하지 않았다. 오히려 너무 큰 부담을 짊어지지는 않을까 걱정스러웠다.	Not because I thought she'd fall apart over a minor setback — but because I worried she'd push herself too hard.						0
5	毕竟这是她第一次参与研发工作，想要全力以赴做到极致也是人之常情。	畢竟這是她第一次參與研發工作，想要全力以赴做到極致也是人之常情。	何しろ、ニタが開発作業に参加するのはこれが初めてで、全力で「完璧」をめざすのも無理はないから。	어찌 됐든, 이번이 그녀가 처음으로 참여하는 연구 개발 작업이니, 최선을 다하고 싶어 하는 건 어쩌면 당연한 일이었다.	It was her first time working directly with R&D. Of course she wanted to go all out, to prove herself.						0
6	但打开房门后，我想象中的，带着焦虑苦闷表情的妮塔并未出现。	但打開房門後，我想像中的，帶著焦慮苦悶表情的妮塔並未出現。	そんな想像をしていたが、いざドアを開けると…	하지만 문을 열었을 때, 내가 예상했던 초조하고 답답한 표정의 니타는 보이지 않았다.	But when I opened the door... the Nita I'd pictured — frustrated, drained — was nowhere to be seen.						0
7	她正把脑袋搁桌边，目光诡异地凝视着在面前的提拉米苏上，神色更带着几分……兴奋？	她正把頭擱桌邊，目光詭異地凝視著在面前的提拉米蘇上，神色更帶著幾分……興奮？	…ニタはティラミスとにらめっこしている。悩んでるどころか、ワクワクしているみたいだ。	그녀는 책상에 머리를 기대고, 앞에 놓인 티라미수를 묘한 눈빛으로 응시하고 있었다. 그 표정에는 왠지 모를… 흥분이 서려 있었다.	She had her chin resting on the table, eyes locked on the slice of tiramisu in front of her. And was that... excitement on her face?						0
8	虽然这份甜点散发着浓郁的咖啡香气，金黄松软的手指饼干排列整齐，面上的可可粉也细腻诱人。	雖然這份甜點散發著濃郁的咖啡香氣，金黃鬆軟的手指餅乾排列整齊，面上的可可粉也細膩誘人。	コーヒーのいい香り、きれいに並んだビスケット、上にふりかけたココアパウダー。確かにおいしそうだけど…	짙은 커피 향이 퍼지는 달콤한 디저트 위에는 금빛으로 부드럽게 구워진 핑거 비스킷이 가지런히 놓여 있고, 그 위에 뿌려진 코코아 가루는 먹음직하고 매력적이었다.	The room was filled with the rich aroma of coffee. Golden sponge fingers stacked neatly, dusted with just the right amount of cocoa.						0
9	但它“餐厅常驻”的属性，让人提不起任何对它的兴趣……	但它「餐廳常駐」的屬性，讓人提不起任何對它的興趣……	食堂でいつも食べられるメニューだし…	근데 이건 '식당 상시 메뉴'라는 점에서 특별한 관심이 느껴지지 않았다.	And yet — as a cafeteria staple that showed up almost daily — it was hardly anything new. Most operatives wouldn't give it a second glance.						0
10	当然，妮塔除外，只要是免费的美食，她都爱吃。	當然，妮塔除外，只要是免費的美食，她都愛吃。	でもニタだけは、「無料の食べ物」ならどれでも嬉しい性分だ。	하지만 니타에게는 예외였다. 무료 음식이라면 뭐든 좋아하는 사람이니까.	But Nita? As long as it was free and edible, she was all in.						0
11	口水都快流下来了……	口水都快流下來了……	よだれ、垂れそうだぞ。	고인 침이 흘러내리겠네…	You're practically drooling...						0
12	我凑到妮塔旁边，彼此的脸几乎要贴到一起。	我湊到妮塔旁邊，彼此的臉幾乎要貼在一起。	ニタのそばに顔を寄せ、頬がくっつくんじゃないかってくらい近い。	나는 니타 옆으로 가까이 다가가 얼굴을 바짝 붙였다.	I leaned in beside her — close enough that our faces nearly touched.						0
13	哇啊啊啊，分析员。	哇啊啊啊，分析員。	ひゃああっ、分析員！？	꺄악! 분석가!	Whoaa— Adjutant!?						0
