xxx_2557340935	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	没想到这么快就到这里了。	沒想到這麼快就到這裡了。	こんなに早くここまで来るとはな。	이렇게 순조롭게 이곳에 도착할 줄은 몰랐네요.	Seems like we made good time getting here.						0
2	这一路上的推进都很顺利。	這一路上的推進都很順利。	ここまでの道のりは順調すぎるほど順調だった。	이 길의 진전은 정말 순조로웠다.	The journey so far had been surprisingly smooth.						0
3	和伊切尔面对的蔬菜大军，与猫汐尔针锋相对的老鼠特工队不一样……辰星世界构造出的敌人画风都在合理的范畴。主要的麻烦是一些特殊的机关布置。	和伊切爾面對的蔬菜大軍，與貓汐爾針鋒相對的老鼠特工隊不一樣……辰星世界構造出的敵人畫風都在合理的範疇。主要的麻煩是一些特殊的機關佈置。	イチェルの時の野菜軍団とマーシルの時のネズミスパイに比べて、辰星の意識で作られたここの敵は何倍もマトモだけど、今回で厄介なのは敵ではなく仕掛けと罠だ。	이첼과 마주했던 채소 군대, 캣 시에라와 대치했던 쥐 특공대와는 달리… 수성이 만든 세계의 적들은 모두 합리적인 범위 안에서 그려졌다. 주된 문제는 몇 가지 특별한 장치의 배치였다.	Unlike Eatchel's vegetable legion or Mauxir's secret-agent mice squad, the enemies in Chenxing's world felt grounded in reason. The real challenges came from the intricate traps and mechanisms scattered along the way.						0
4	然而在辰星“随心所欲”创造的灵物辅助下，我们几乎畅通无阻地闯过了庭院，打开了进入宅邸的通道。	然而在辰星「隨心所欲」創造的靈物輔助下，我們幾乎暢通無阻地闖過了庭院，打開了進入宅邸的通道。	それでも彼女の「思うがまま」の力で作りだした一羽の小鳥で、私たちは難なく庭を通り抜け、屋敷への道を開けることができた。	하지만 수성이 '마음대로' 창조한 영물의 도움 덕분에 우리는 거의 방해받지 않고 정원을 통과했으며 저택으로 들어가는 통로를 열 수 있었다.	Even so, thanks to the spiritual constructs Chenxing created with her "wild imagination," we breezed through the courtyard and opened a path into the manor.						0
5	这玉环变成的鸟，还真是好用。	這玉環變成的鳥，還真是好用。	あの腕輪が化けた鳥、意外と便利だな。	이 옥환으로 변한 새는 정말 유용하네요.	This jade ring-turned-bird is surprisingly helpful.						0
6	要是在现实里我也有这样神奇的力量就好了。	要是在現實裡我也有這樣神奇的力量就好了。	もし現実でもこの力が使えるのなら、どれだけ良いことでしょうか。	현실에서도 이런 신비로운 힘을 가졌으면 좋겠어요.	If only I could use powers like this in the real world.						0
7	辰星表现出一副兴致勃勃的模样，她伸出手，似乎想要接住那只在旁边飞舞的彩色小鸟。	辰星表現出一副興致勃勃的模樣，她伸出手，似乎想要接住那隻在旁邊飛舞的彩色小鳥。	少女はどこか嬉しそうな顔を見せて、周りを飛び回っている小鳥に留まってもらうためか手を差し出したその時――	수성은 신이 난 듯한 모습을 보이며 손을 뻗어 곁에서 날아다니는 화려한 새를 잡으려 했다.	Chenxing exuded an air of excitement as she reached out her hand, seemingly hoping to catch the colorful little bird fluttering beside her.						0
8	可忽然她的神色一凛，绷紧了身体，拉弓满月，警惕望着正前方的廊桥。	但忽然她的神色一凜，繃緊了身體，拉弓滿月，警惕望著正前方的廊橋。	そんな思いに耽っていると、突如少女は顔を引き締め、前方をまっすぐ見つめながら弓を構えて弦をめいっぱい引いた。	그런데 갑자기 그녀의 표정이 굳어지며 몸을 긴장시켰다. 이어 활시위를 당겨, 정면의 누각을 경계하며 응시했다.	But in the next moment, her expression sharpened and her body tensed. She drew her bowstring taut, focusing warily on the bridge ahead.						0
9	分析员，它们要来了。	分析員，它們要來了。	分析員、来ます。	분석가님, 그들이 오고 있어요.	Adjutant, they're coming.						0
10	在这本来空无一人的场景中，一些模糊的人影好似凭空出现。	在這本來空無一人的場景中，有些模糊的人影好像憑空出現。	私たち以外に人っ子一人いなかったはずの空間に、いつの間にか奇怪な雰囲気を漂わせている、ぼんやりとした人影数人がぬっと現れた。	본래 텅 빈 이 공간에, 흐릿한 형체들이 홀연히 나타났다.	What had been an empty scene moments ago began filling with blurry figures, appearing as though conjured from thin air.						0
11	我跟着将手指虚扣在扳机上，做好随时开火的准备。先前我和辰星闯过庭院时，遇到的敌人也都像是游戏里随手放置的怪物一样刷新出现。	我跟著將手指虛扣在扳機上，做好隨時開火的準備。先前我和辰星闖過庭院時，遇到的敵人也都像是遊戲裡隨手放置的怪物一樣刷新出現。	交戦覚悟でほぼ反射的に引き金に指をかける。この前、庭を通ったときもまるでゲームのように配置された敵が目が合う度に襲いかかってきた。	나도 손가락을 방아쇠에 올려 언제라도 발사할 준비를 했다. 이전에 수성과 함께 정원을 돌파했을 때 마주친 적들도 마치 게임 속에 랜덤으로 배치된 몬스터처럼 나타나곤 했었다.	My fingers instinctively brushed the trigger, ready to fire. So far, every enemy we'd encountered here had spawned out of nowhere, much like mobs in a video game.						0
12	可随后出现的一幕让我和辰星齐齐愣住。	但隨後出現的一幕讓我和辰星齊齊愣住。	やるしかないと思って手に汗を握っていると、思いもよらない展開に私たちは呆気にとられた。	그러나 이어서 나타난 장면은 나와 수성을 동시에 멍하게 만들었다.	But the scene that followed made me and Chenxing pause.						0
13	这是……	這是……	いや、あれは……	이건…	They look like...						0
14	这些家伙，看上去都是普通人。	這些傢伙，看起來都是普通人。	こいつら、一般人にしか見えないけど……	이 녀석들은 모두 평범한 사람처럼 보여요.	Like ordinary civilians.						0
15	我凝神打量着眼前缓缓浮现的一道道身影，她们浮现的身体轮廓不像是全副武装的士兵，更不是被泰坦物质侵蚀、同化的怪物。	我凝神打量著眼前緩緩浮現的一道道身影，她們浮現的身體輪廓不像是全副武裝的士兵，更不是被泰坦物質侵蝕、同化的怪物。	ぬっと浮かび上がった影をじっと観察する。形の定まらないぼやけているその輪郭は武器を持った兵士のようにもタイタン物質に蝕まれた怪物のようにも見えなかった。	나는 눈앞에 스멀스멀 모습을 드러내는 자들을 집중해서 살펴보았다. 그녀들의 실루엣은 완전 무장한 병사도, 타이탄 물질에 침식되고 동화된 괴물도 아니었다.	Squinting, I attentively studied the figures that continued to appear. They weren't armored soldiers, nor did they show signs of Titagen corrosion.						0
16	看上去就是普通的市民，诡异的是一个个肩膀上还挑着板凳，还有人在廊桥两边撒着鲜花。	看上去就是普通的市民，詭異的是一個肩膀上還挑著板凳，還有人在廊橋兩邊撒著鮮花。	身だしなみこそ丸腰の一般市民と何ら変わりないけど、奇妙なことに全員肩で椅子を担いでいた。そして庭橋の両側で花びらを撒いているやつもいる。	그냥 평범한 시민처럼 보였다. 이상한 건 그들 각각의 어깨에 작은 나무 의자 하나씩을 지고 있었고 누군가는 다리 양쪽에 꽃을 뿌리고 있었다.	Instead, they looked like everyday townsfolk. Stranger still, many carried wooden stools over their shoulders, while others scattered flower petals along either side of the bridge.						0
