xxx_4058385329	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	团建活动结束后，我和妮塔带着收集好的「乐透卡」来到了小吉处。	團建活動結束後，我和妮塔帶著收集好的「樂透卡」來到了小吉處。	やがてチームビルディングが終了し、集めた「ロトカード」をギーちゃんのところへ持っていった。	워크숍이 끝난 후, 나와 니타는 수집한 [로또 카드]를 가지고 샤오지에 있는 곳에 도착했다.	After the event wrapped up, Nita and I made our way back to base — straight to Gigi, our ever-diligent assistant.						0
2	这位勤勤恳恳在基地服务的小管家，这次也负责起统计「乐透卡」，并发放大奖的任务。	這位勤勤懇懇在基地服務的小管家，這次也負責起統計「樂透卡」，並發放大獎的任務。	ギーちゃんは社員寮の管理ロボットで、カードの集計と賞品交付を担当している。	숙소에서 부지런히 서비스하는 작은 집사는 이번에도 [로또 카드]를 집계하고 대상을 지급하는 임무를 맡았다.	This time, it was also in charge of counting the Lottery Cards and handing out the grand prize.						0
3	大概是因为活动期间，妮塔总是来频繁打扰它，导致小吉看到我们靠近时，迅速往后退了两步。	大概是因為活動期間，妮塔總是來頻繁打擾它，導緻小吉看到我們靠近時，迅速往後退了兩步。	しかし、イベント中ニタに絡まれたせいか、こっちを見ると少し後ずさる。	니타가 행사 기간 동안 자주 와서 방해해서인지, 샤오지는 우리가 다가오는 것을 보고 바로 두 걸음 뒤로 물러섰다.	Maybe it was because Nita had been pestering it non-stop throughout the entire event, but the moment we approached, the little bot instantly took two steps back.						0
4	嗯？那小机器人不会是想躲我吧！	嗯？那小機器人不會是想躲我吧！	ねえ、あのロボ、私から逃げようとしてない？	응? 저 작은 로봇이 날 피하는 건 아니겠지!	Huh? Is that robot... avoiding me?						0
5	团建活动都结束了，你们也该握手言和了。	團建活動都結束了，你們也該握手言和了。	チームビルディングも終わったんだし、仲直りしてくれよ。	워크숍도 끝났는데 이제 악수하고 화해해야지.	Come on — the event's over. Shouldn't you two be making peace by now?						0
6	说到这儿，一人一机在基地大厅吵得火热的场景浮现于眼前。	說到這裡，一人一機在基地大廳吵得火熱的場景浮現眼前。	そう言うと、あのときのニタは賞品交換がショボいと怒ってギーちゃんに突っかかってた。	그러고 보니 1인 1로봇인 숙소 로비에서 떠들썩한 장면이 눈앞에 떠올랐다.	Even as I said it, flashes of their earlier squabble in the main hall played back in my mind...						0
7	喂！「乐透卡」怎么可能只能换到这些东西！是不是你这个小机器人私藏了！	喂！「樂透卡」怎麼可能只能換到這些東西！是不是你這個小機器人私藏了！	こんなショボいアイテムになるわけない！絶対裏に隠してるでしょ！	야! [로또 카드]로 이 정도의 물건밖에 못 바꾸다니! 이 로봇이 설마 몰래 좋은 거 숨긴 건 아니지!	Hey! There's no way this is all my Lottery Cards are worth! Don't tell me you're hoarding the real prizes, you sneaky little bot!						0
8	你正在污蔑一个有着高贵品格的AI机器人，警告！警告！	你正在污衊一個有著高貴品格的AI機器人，警告！警告！	警告します！これは誇り高きAIロボットへの侮辱行為に当たります！	당신은 고귀한 품격을 가진 AI 로봇을 모욕하고 있습니다, 경고! 경고!	You are slandering a highly principled AI unit. Warning. Warning.						0
9	快点交出大奖，不然我就把你拆了！	快點交出大獎，不然我就把你拆了！	賞品を出さないなら解体してやるから！	빨리 대상을 뱉어 내, 안 그럼 널 해체시킬 거야!	Fork it over! Or I'll take you apart and see where you're hiding them!						0
10	你们的「乐透卡」数量不够，只能拿到这些，这是完全符合规则的。	你們的「樂透卡」數量不夠，只能拿到這些，這是完全符合規則的。	「ロトカード」が足りてないからです。これはルールに基づく結果です。	소지한 [로또 카드]가 부족하니 이 정도만 받을 수 있습니다. 이는 규칙에 완전히 부합됩니다.	The number of Lottery Cards you submitted qualifies you only for these items. This distribution is fully in accordance with the rules.						0
11	重复，这完全符合规则。	重複，這完全符合規則。	繰り返します。これはルールに基づく結果ですっ！	중복, 이는 규칙에 완전히 부합됩니다.	Repeating: This distribution is fully in accordance with the rules.						0
12	可恶……	可惡……	畜生が…	이런 젠장…	Ugh...						0
13	但妮塔完全没把我的话听进去，拿着一叠「乐透卡」就朝着小吉冲了过去，吓得小吉火速转起三条机械臂，毫不犹豫地开溜。	但妮塔完全沒把我的話聽進去，拿著一疊「樂透卡」就朝著小吉衝了過去，嚇得小吉火速轉起三條機械臂，毫不猶豫地開溜。	私の制止も聞かず、ニタは「ロトカード」を手にギーちゃんへ突っ込んだ。相手は三本のメカアームを回転させて逃亡。	하지만 니타는 전혀 내 말을 듣지 않고, 한 묶음의 [로또 카드]를 들고 샤오지를 향해 돌진했다. 놀란 샤오지는 급히 로봇 팔 세 개를 돌려 망설임 없이 도망쳤다.	But Nita didn't seem to hear a word. She bolted straight at Gigi, waving a fistful of Lottery Cards — sending the poor bot scrambling, all three arms spinning like a panicked blender.						0
14	我连忙抓住妮塔的衣领，将她揪回身边。	我連忙抓住妮塔的衣領，將她拉回身邊。	慌ててニタの襟首をつかみ、引き留めた。	나는 급히 니타의 옷깃을 잡고 그녀를 다시 끌어당겨 왔다.	I quickly snagged her by the collar and reeled her back in.						0
15	你把小吉吓跑了，谁给我们兑换大奖？而且，它二十四小时都在基地大厅，你不怕它举报你偷吃零食？	你把小吉嚇跑了，誰幫我們兌換大獎？而且，它二十四小時都在基地大廳，你不怕它檢舉你偷吃零食？	ギーちゃんがいないと賞品を交換できないだろ。あとであいつに余計なことをバラされるのも困るんじゃないか？	네가 샤오지를 놀라게 해서 샤오지가 도망가면, 누가 우리에게 대상을 주겠어? 게다가, 24시간 숙소 로비에 있는 로봇인데, 네가 몰래 간식을 먹은 걸 신고할까 봐 두렵지도 않아?	Scare Gigi off, and who's gonna redeem our prize? Besides... it's on lobby patrol 24/7. Aren't you worried it might've recorded those... snack thefts?						0
16	诶？！我怎么没想到这茬……	欸？！我怎麼沒想到這事……	え！？そ、それは困る…！	엥?! 내가 왜 그 생각을 못 했지…	Wait, what!? Um, I didn't think of that...						0
17	妮塔叉起双手，颇不服气地撇了小吉一眼后，还是决定乖乖待在我身边，礼貌待“吉”。	妮塔叉起雙手，頗不服氣地撇了小吉一眼後，還是決定乖乖待在我身邊，禮貌待「吉」。	ニタは腕を組んでギーちゃんに悔しそうな視線を送るが、しぶしぶそばで大人しくしている。	니타는 두 손을 벌리고 다소 불만스러운 표정으로 샤오지를 힐끗 쳐다본 후, 결국 내 옆에서 얌전히 '샤오지'에게 예의 바르게 대하기로 결정했다.	Arms folded, pout in full bloom, she shot the bot a dramatic side-eye — then, with a reluctant huff, stayed rooted by my side, deciding it was smarter to play nice.						0
18	小吉，这些是我和妮塔收集来的「乐透卡」。	小吉，這些是我和妮塔收集來的「樂透卡」。	ギーちゃん、これが私たちの集めた「ロトカード」だ。	샤오지, 이것들은 나와 니타가 수집한 [로또 카드]야.	Gigi, these are the Lottery Cards Nita and I collected.						0
19	核对数量，排序中……请稍等……	核對數量，排序中…請稍等…	枚数を確認します。しばしお待ちを…	카드 수량 체크 및 정렬 중… 잠시만 기다려 주세요…	Verifying quantity... Sorting... Please wait...						0
20	在谨慎的计算后，一个惊喜的答案从小吉口中说出。	在謹慎的計算後，一個驚喜的答案從小吉口中說出。	厳密に集計した結果、ギーちゃんが喜ばしい知らせを伝える。	신중한 계산 후, 깜짝 놀랄 만한 답이 샤오지의 입에서 나왔다.	After some cautious calculations, it gave us a result we hadn't been expecting.						0
21	恭喜你们，你们目前持有「乐透卡」数量为最多，可以获得最终大……	恭喜你們，你們目前持有「樂透卡」數量為最多，可以獲得最終大……	おめでとうございます。いちばん多くカードを集めました。よって最終大賞は…	축하합니다, 현재 로또 카드를 가장 많이 소지하고 계셔서 최종 대상을…	Congratulations. You currently hold the highest number of Lottery Cards and are eligible to receive the grand pr—						0
22	小吉还没说完，就被妮塔抓住机械臂，整个吉倒挂了过来，上下摇晃着。	小吉還沒說完，就被妮塔抓住機械手臂，整個吉倒掛了過來，上下搖晃。	まだ言い終わらないうちに、ニタがギーちゃんのアームを掴んで上下逆さに揺さぶった。	샤오지가 말을 마치기도 전에 니타에게 로봇 팔이 잡혔고, 샤오지 전체가 거꾸로 매달려 위아래로 흔들렸다.	Before it could finish, Nita grabbed one of Gigi's mechanical arms and yanked it clean off the ground — flipping it upside down like a prize claw.						0
23	真的吗，真的吗？最终大奖真的是我和分析员的？	真的嗎，真的嗎？最終大獎真的是我和分析員的？	やった！本当に私たちが優勝？最終賞品もらえるの？！	정말이야, 진짜야? 최종 대상이 나랑 분석가 거라고?	Seriously!? You're not messing with us, right!? The grand prize is really ours!?						0
24	警告！危险操作！警告！	警告！危險操作！警告！	警告します！乱暴はやめてください！	경고합니다! 위험한 조작입니다! 경고!	Warning! Hazardous behavior detected! Warning!						0
25	眼看着妮塔准备开心地拉着小吉呼啦啦转圈，我赶紧在这位小管家起飞前将它接了过来。	眼看著妮塔準備開心地拉著小吉呼啦啦轉圈，我趕緊在這位小管家起飛前將它接了過來。	浮かれてギーちゃんごと振り回しそうな彼女を慌てて制止し、ロボを救出。	니타가 기뻐하며 샤오지를 끌고 우르르 돌 준비를 하는 것을 보고, 나는 이 작은 집사가 날아가기 전에 서둘러 그를 받아냈다.	She was seconds away from launching Gigi into orbit — twirling in place with the poor thing flailing at the end of her arm — when I rushed in and caught it just before liftoff.						0
