xxx_3727713097	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
Type	Id	UnLockTime	UnLockTimeOversea	Condition	TitleImg	Icon	PeaceIcon	Extension1	Extension2	Extension3	Extension4	Extension5	Extension6	Extension7	Extension8	green_tag
1	1011		{202210090800}	{1,1,1,1}	icon_girl001_700			riki.testTitle1	riki.testContent1	riki.testTitle2	riki.testContent2	0,5				
1	1012			{1,1,2,1}	icon_girl001a_700			riki.testTitle1	riki.testContent1	riki.testTitle2	riki.testContent3	8,6				
1	1013			{1,1,3,1}	icon_girl001a_700			riki.testTitle1	riki.testContent79	riki.testTitle2	riki.testContent80	20,6				
1	1021			{1,2,1,1}	icon_girl002_700			riki.testTitle1	riki.testContent4	riki.testTitle2	riki.testContent5	0,5				
1	1022			{1,2,2,1}	icon_girl002a_700			riki.testTitle1	riki.testContent4	riki.testTitle2	riki.testContent6	10,6				
1	1023			{1,2,3,1}	icon_girl002a_700			riki.testTitle1	riki.testContent48	riki.testTitle2	riki.testContent49	18,5				
1	1031			{1,3,1,1}	icon_girl003_700			riki.testTitle1	riki.testContent7	riki.testTitle2	riki.testContent8	0,6				
1	1032			{1,3,2,1}	icon_girl003a_700			riki.testTitle1	riki.testContent7	riki.testTitle2	riki.testContent64	0,5				
1	1041			{1,4,1,1}	icon_girl004_700			riki.testTitle1	riki.testContent9	riki.testTitle2	riki.testContent10	0,6				
1	1042			{1,4,2,1}	icon_girl004a_700			riki.testTitle1	riki.testContent9	riki.testTitle2	riki.testContent11	11,5				
1	1043			{1,4,3,1}	icon_girl004a_700			riki.testTitle1	riki.testContent9	riki.testTitle2	riki.testContent58	18,6				
1	1044	[202605221000]	[202605221000]	{1,4,4,1}	icon_girl004a_700			riki.testTitle1	riki.testContent9	riki.testTitle2	riki.testContent82	18,9				
1	1051			{1,5,1,1}	icon_girl005_700			riki.testTitle1	riki.testContent12	riki.testTitle2	riki.testContent13	0,5				
1	1052			{1,5,2,1}	icon_girl005a_700			riki.testTitle1	riki.testContent12	riki.testTitle2	riki.testContent14	10,5				
1	1053	[202410101000]	[202410101000]	{1,5,3,1}	icon_girl005b_700			riki.testTitle1	riki.testContent12	riki.testTitle2	riki.testContent57	20,6				
1	1054	[202602121000]	[202602121000]	{1,5,4,1}	icon_girl005b_700			riki.testTitle1	riki.testContent12	riki.testTitle2	riki.testContent81	20,9				
1	1061			{1,6,1,1}	icon_girl006_700			riki.testTitle1	riki.testContent15	riki.testTitle2	riki.testContent16	0,5				
1	1062			{1,6,2,1}	icon_girl006a_700		1211022	riki.testTitle1	riki.testContent15	riki.testTitle2	riki.testContent36	10,5				
1	1063	{202511271000}	{202511271000}	{1,6,3,1}	icon_girl006b_700			riki.testTitle1	riki.testContent15	riki.testTitle2	riki.testContent74	11,5				
1	1071			{1,7,1,1}	icon_girl007_700			riki.testTitle1	riki.testContent17	riki.testTitle2	riki.testContent18	0,5				
1	1072			{1,7,2,1}	icon_girl007_700		1211027	riki.testTitle1	riki.testContent17	riki.testTitle2	riki.testContent45	14,5				
1	1081			{1,8,1,1}	icon_girl008_700			riki.testTitle1	riki.testContent19	riki.testTitle2	riki.testContent20	0,5				
1	1082			{1,8,2,1}	icon_girl008a_700			riki.testTitle1	riki.testContent19	riki.testTitle2	riki.testContent21	10,6				
1	1083	{202407251000}	{202407251000}	{1,8,3,1}	icon_girl008a_700			riki.testTitle1	riki.testContent50	riki.testTitle2	riki.testContent51	15,6				
1	1084			{1,8,4,1}	icon_girl008c_700			riki.testTitle1	riki.testContent50	riki.testTitle2	riki.testContent72	15,6				
1	1101			{1,10,1,1}	icon_girl010_700			riki.testTitle1	riki.testContent24	riki.testTitle2	riki.testContent25	0,6				
1	1102			{1,10,2,1}	icon_girl010a_700			riki.testTitle1	riki.testContent24	riki.testTitle2	riki.testContent26	10,5				
1	1103	[202502061000]	[202502061000]	{1,10,3,1}	icon_girl010a_700			riki.testTitle1	riki.testContent24	riki.testTitle2	riki.testContent62	15,6				
1	1111			{1,11,1,1}	icon_girl011_700			riki.testTitle1	riki.testContent27	riki.testTitle2	riki.testContent28	0,5				
1	1112	{202405021000}	{202405021000}	{1,11,2,1}	icon_girl011a_700			riki.testTitle1	riki.testContent27	riki.testTitle2	riki.testContent44	14,6				
1	1113			{1,11,3,1}	icon_girl011b_700			riki.testTitle1	riki.testContent27	riki.testTitle2	riki.testContent63	18,7				
1	1181			{1,18,1,1}	icon_girl018_700			riki.testTitle1	riki.testContent52	riki.testTitle2	riki.testContent53	18,8				
1	1182			{1,18,2,1}	icon_girl018a_700			riki.testTitle1	riki.testContent52	riki.testTitle2	card.girl182_des	18,7				
1	1121			{1,12,1,1}	icon_girl012_700			riki.testTitle1	riki.testContent29	riki.testTitle2	riki.testContent30	0,6				
1	1122			{1,12,2,1}	icon_girl012a_700			riki.testTitle1	riki.testContent29	riki.testTitle2	riki.testContent37	16,4				
1	1123	{202601011000}	{202601011000}	{1,12,3,1}	icon_girl012b_700			riki.testTitle1	riki.testContent29	riki.testTitle2	riki.testContent77	15,10				
1	1131			{1,13,1,1}	icon_girl013_700			riki.testTitle1	riki.testContent31	riki.testTitle2	riki.testContent32	0,8				
1	1132			{1,13,2,1}	icon_girl013a_700			riki.testTitle1	riki.testContent46	riki.testTitle2	riki.testContent47	17,5				
1	1212	{202510161000}	{202510161000}	{1,13,3,1}	icon_girl013b_700			riki.testTitle1	riki.testContent46	riki.testTitle2	riki.testContent73	12,6				
1	1141			{1,14,1,1}	icon_girl014_700			riki.testTitle1	riki.testContent33	riki.testTitle2	riki.testContent34	0,6				
1	1142			{1,14,2,1}	icon_girl014a_700			riki.testTitle1	riki.testContent33	riki.testTitle2	riki.testContent35	13,6				
1	1143			{1,14,3,1}	icon_girl014a_700			riki.testTitle1	riki.testContent33	riki.testTitle2	riki.testContent61	15,7				
1	1151			{1,15,1,1}	icon_girl015_700			riki.testTitle1	riki.testContent40	riki.testTitle2	riki.testContent41	10,6				
1	1152			{1,15,2,1}	icon_girl015a_700			riki.testTitle1	riki.testContent40	riki.testTitle2	riki.testContent55	14,6				
1	1153			{1,15,3,1}	icon_girl015b_700			riki.testTitle1	riki.testContent40	riki.testTitle2	riki.testContent68	15,6				
1	1161			{1,16,1,1}	icon_girl016_700			riki.testTitle1	riki.testContent42	riki.testTitle2	riki.testContent43	10,6				
1	1171			{1,17,1,1}	icon_girl017_700		1211024	riki.testTitle1	riki.testContent38	riki.testTitle2	riki.testContent39	16,4				
1	1172	{202507241000}	{202507241000}	{1,17,2,1}	icon_girl017a_700			riki.testTitle1	riki.testContent38	riki.testTitle2	riki.testContent69	15,7				
1	1191			{1,20,1,1}	icon_girl020_700			riki.testTitle1	riki.testContent59	riki.testTitle2	riki.testContent60	16,8				
1	1192			{1,20,2,1}	icon_girl020a_700			riki.testTitle1	riki.testContent59	riki.testTitle2	riki.testContent78	13,10				
1	1120			{1,21,1,1}	icon_girl021_700			riki.testTitle1	riki.testContent65	riki.testTitle2	riki.testContent66	14,6				
1	1201			{1,22,1,1}	icon_girl022_700			riki.testTitle1	riki.testContent70	riki.testTitle2	riki.testContent71	10,7				
1	1211			{1,23,1,1}	icon_girl023_700			riki.testTitle1	riki.testContent75	riki.testTitle2	riki.testContent76	13,7				
1	1241			{1,24,1,1}	icon_girl024_700			riki.testTitle1	riki.testContent83	riki.testTitle2	riki.testContent84	13,10				
2	2001			{2,1,255,1}	13110001											
2	2002			{2,1,1,1}	13110001											
2	2003			{2,1,2,1}	13110002											
2	2004			{2,1,3,1}	13110003											
2	2006			{2,1,5,1}	13110005											
2	2007			{2,1,6,1}	13110006											
2	2008			{2,1,7,1}	13110013											
2	2009			{2,1,8,1}	13110017											
2	2010			{2,1,9,1}	13110007											
2	2011			{2,1,10,1}	13110008											
2	2012			{2,1,11,1}	13110009											
2	2013			{2,1,12,1}	13110010											
2	2014			{2,1,13,1}	13110014											
2	2015			{2,1,14,1}	13110015											
2	2018			{2,1,17,1}	13110011											
2	2019			{2,1,18,1}	13110012											
2	2022			{2,1,21,1}	13110021											
2	2119			{2,1,25,1}	13110025											
2	2126			{2,1,26,1}	13110026											
2	2127			{2,1,27,1}	13110027											
2	2024			{2,2,255,1}	13210001											
2	2025			{2,2,1,1}	13210001											
2	2026			{2,2,2,1}	13210002											
2	2027			{2,2,3,1}	13210003											
2	2028			{2,2,4,1}	13210004											
2	2029			{2,2,5,1}	13210005											
2	2030			{2,2,6,1}	13210006											
2	2031			{2,2,7,1}	13210007											
2	2032			{2,2,8,1}	13210008											
2	2034			{2,2,10,1}	13210010											
2	2035			{2,2,11,1}	13210014											
2	2036			{2,2,12,1}	13210015											
2	2037			{2,2,13,1}	13210018											
2	2039			{2,2,15,1}	13210016											
2	2040			{2,2,16,1}	13210017											
2	2041			{2,2,17,1}	13210011											
2	2042			{2,2,18,1}	13210012											
2	2043			{2,2,19,1}	13210013											
2	2045			{2,2,21,1}	13210021											
2	2046			{2,3,255,1}	13310001											
2	2047			{2,3,1,1}	13310001											
2	2048			{2,3,2,1}	13310002											
2	2049			{2,3,3,1}	13310003											
2	2050			{2,3,4,1}	13310004											
2	2051			{2,3,5,1}	13310005											
2	2052			{2,3,6,1}	13310009											
2	2053			{2,3,7,1}	13310010											
2	2054			{2,3,8,1}	13310021											
2	2055			{2,3,9,1}	13310006											
2	2057			{2,3,11,1}	13310011											
2	2058			{2,3,12,1}	13310012											
2	2059			{2,3,13,1}	13310013											
2	2060			{2,3,14,1}	13310014											
2	2061			{2,3,15,1}	13310017											
2	2063			{2,3,17,1}	13310008											
2	2067			{2,3,21,1}	13310020											
2	2070			{2,4,255,1}	13410001											
2	2071			{2,4,1,1}	13410001											
2	2072			{2,4,2,1}	13410002											
2	2073			{2,4,3,1}	13410003											
2	2074			{2,4,4,1}	13410004											
2	2075			{2,4,5,1}	13410009											
2	2076			{2,4,6,1}	13410005											
2	2077			{2,4,7,1}	13410010											
2	2078			{2,4,8,1}	13410017											
2	2079			{2,4,9,1}	13410011											
2	2080			{2,4,10,1}	13410012											
2	2081			{2,4,11,1}	13410006											
2	2082			{2,4,12,1}	13410007											
2	2085			{2,4,15,1}	13410018											
2	2086			{2,4,16,1}	13410019											
2	2088			{2,4,18,1}	13410015											
2	2090			{2,4,20,1}	13410020											
2	2091			{2,4,21,1}	13410021											
2	2092			{2,4,25,1}	13410025											
2	2093			{2,4,26,1}	13410026											
2	2096			{2,5,255,1}	13510001											
2	2097			{2,5,1,1}	13510001											
2	2098			{2,5,2,1}	13510002											
2	2099			{2,5,3,1}	13510003											
2	2100			{2,5,4,1}	13510004											
2	2101			{2,5,5,1}	13510005											
2	2102			{2,5,6,1}	13510006											
2	2103			{2,5,7,1}	13510007											
2	2104			{2,5,8,1}	13510013											
2	2105			{2,5,9,1}	13510017											
2	2106			{2,5,10,1}	13510012											
2	2107			{2,5,11,1}	13510014											
2	2108			{2,5,12,1}	13510015											
2	2111			{2,5,15,1}	13510018											
2	2112			{2,5,16,1}	13510019											
2	2115			{2,5,19,1}	13510011											
2	2117			{2,5,21,1}	13510021											
2	2118			{2,5,22,1}	13510022											
2	2120			{2,2,22,1}	13210022											
2	2121			{2,6,2,1}	13610002											
2	2122			{2,6,4,1}	13610004											
2	2123			{2,6,1,1}	13610001											
2	2124			{2,6,255,1}	13610001											
2	2125			{2,3,24,1}	13310024											
2	2200			{2,3,26,1}	13310026											
2	2201			{2,3,25,1}	13310025											
2	2202	{202407251000}	{202407251000}	{2,5,23,1}	13510023											
2	2203	{202407251000}	{202407251000}	{2,5,24,1}	13510024											
2	2204			{2,7,255,1}	13710001											
2	2205			{2,7,1,1}	13710002											
2	2206			{2,7,2,1}	13710003											
2	2207			{2,7,3,1}	13710004											
2	2208			{2,4,27,1}	13710003											
2	2209			{2,4,28,1}	13710004											
2	2210			{2,5,25,1}	13510025											
2	2211			{2,5,26,1}	13510026											
2	2212	[202410101000]	[202410101000]	{2,3,27,1}	13510027											
2	2213	[202410101000]	[202410101000]	{2,3,28,1}	13510028											
2	2214			{2,2,23,1}	13510029											
2	2215			{2,2,24,1}	13510030											
2	2216			{2,4,29,1}	13510030											
2	2217			{2,4,30,1}	13510030											
2	2218	[202502061000]	[202502061000]	{2,1,28,1}	13510030											
2	2219	[202502061000]	[202502061000]	{2,1,29,1}	13510030											
2	2220			{2,8,2,1}	13510030											
2	2221			{2,8,3,1}	13510030											
2	2222			{2,8,255,1}	13510030											
2	2223			{2,8,1,1}	13510030											
2	2224			{2,3,29,1}	13510030											
2	2225			{2,3,30,1}	13510030											
2	2226			{2,5,27,1}	13510030											
2	2227			{2,5,28,1}	13510030											
2	2228	[202505011000]	[202505011000]	{2,3,31,1}	13510030											
2	2229			{2,2,25,1}	13510030											
2	2230			{2,2,26,1}	13510030											
2	2231	{202507241000}	{202507241000}	{2,5,29,1}	13510030											
2	2232	{202507241000}	{202507241000}	{2,5,30,1}	13510030											
2	2233			{2,9,255,1}	13510030											
2	2234			{2,9,1,1}	13510030											
2	2235			{2,9,2,1}	13510030											
2	2236			{2,9,3,1}	13510030											
2	2237			{2,1,30,1}	13510030											
2	2238			{2,1,31,1}	13510030											
2	2239	{202510161000}	{202510161000}	{2,4,31,1}	13510030											
2	2240	{202510161000}	{202510161000}	{2,4,32,1}	13510030											
2	2241			{2,1,32,1}	13510030											
2	2242			{2,1,33,1}	13510030											
2	2243			{2,3,32,1}	13510030											
2	2244			{2,3,33,1}	13510030											
2	2245	{202511271000}	{202511271000}	{2,5,31,1}	13510030											
2	2246	{202601011000}	{202601011000}	{2,2,27,1}	13510030											
2	2247			{2,7,4,1}	13510030											
2	2248			{2,7,5,1}	13510030											
2	2249			{2,10,255,1}	13510030											
2	2250			{2,10,1,1}	13510030											
2	2251			{2,10,2,1}	13510030											
2	2252			{2,10,3,1}	13510030											
2	2253	[202602121000]	[202602121000]	{2,1,34,1}	13510030											
2	2254	[202602121000]	[202602121000]	{2,1,35,1}	13510030											
2	2255	[202605221000]	[202605221000]	{2,4,33,1}	13510030											
2	2256			{2,7,6,1}	13510030											
2	2257			{2,7,7,1}	13510030											
3	3001			{3,1,1,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3002			{3,2,1,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3003			{3,3,1,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3004			{3,1,2,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3005			{3,2,2,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3006			{3,3,2,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
