xxx_3638816570	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	啊，分析员！！	啊！分析員！！	あ、分析員！	아, 분석가!!	Ah, Adjutant!!						0
2	晚些时候，我和晴回到了汉诺塔下。	稍後，我和晴回到了漢諾塔下。	少しして、私と晴はハノイの塔の下に戻った。	나와 하루는 조금 늦게 하노이 타워 아래로 돌아왔다.	Moments later, Haru and I made it back to the base of the Tower of Hanoi.						0
3	恰在此时，世界树支援部队的运输机正缓缓收起最后一片旋翼。	恰在此時，世界樹支援部隊的運輸機正緩緩收起最後一片旋翼。	ちょうどその時、ユグドラシル支援部隊の輸送機も着陸していた。	때마침 위그드라실 지원부대의 수송기가 마지막 로터를 천천히 접고 있었다.	A Yggdrasil transport was just folding its last rotor blade into place.						0
4	哦，芙提雅，猫汐尔，还有……小望吗？！你们什么时候到的啊？	哦，芙提雅、貓汐爾，還有……小望嗎？！你們什麼時候到的啊？	おっ、フリティア、マーシル、それからノゾムまで！？いつ着いたんだ？	아, 프티야, 캣 시에라, 그리고… 노조미까지?! 언제 도착했어?	Fritia, Mauxir... and Nozomi!? When did you all get here?						0
5	我们也是刚刚落地哦。	我們也是剛剛才落地喔。	私たちもちょうど着いたところだよ。	우리도 방금 도착했어.	We just landed too.						0
6	真是的，分析员来新恒提罗怎么也不和我说一声啊~如果提前打招呼的话，我一定就过来给你当向导了。	真是的，分析員來新恆提羅怎麼也不跟我說一聲啊~如果提前打招呼的話，我一定就過來當你的嚮導了。	もう、ニューガントラに来るなら来るって言ってよ。そしたら、私が案内してあげたのに。	분석가도 참. 뉴헨틸로에 왔으면서 어떻게 나한테 연락을 안 할 수가 있어? 미리 말해줬으면 내가 꼭 가이드를 해줬을 텐데~	Honestly, Adjutant, you came to New Hentiro without even telling me? If you'd let me know, I'd have been your guide in a heartbeat~						0
7	这一次的向导，由我来担当。	這一次的嚮導，由我來擔任。	今回の案内役は、ワタシが務めマス。	이번 가이드는 제가 맡았습니다.	For this operation, I've been assigned as the Adjutant's guide.						0
8	她是哪位……	她是哪位……	この子は……？	누구신지…?	...And who might this be?						0
9	小望目光轻轻扫过宇迦，语气里不经意间带上一丝醋意。	小望目光輕輕掃過宇迦，語氣中不經意帶著一絲醋意。	ノゾムがチラリとユガを見た。彼女の口調には、かすかな嫉妬が滲んでいた。	노조미는 우카를 흘겨봤고, 자기도 모르게 살짝 샘 부리는 말투로 말했다.	Nozomi's eyes drifted to YUGA, her voice tinged with a flicker of jealousy.						0
10	咳，这次任务一开始属于机密范畴，还请你理解。不过……没想到大家这么巧，居然同时抵达。	咳，這次任務一開始屬於是機密，還請你理解。不過……沒想到大家這麼巧，居然同時抵達。	っと……今回の任務は最初から機密扱いなんだ。その点は理解してほしい。だが……まさか、みんなが同時に来るなんて、びっくりしたよ。	크흠, 이번 임무는 처음부터 기밀 임무였거든. 네가 이해해 줘. 근데… 다들 동시에 도착하다니, 이건 우연인가?	Ahem... this mission was classified from the start. I hope you understand. Still... funny how we all ended up here at the same time.						0
11	嘿嘿嘿，是啊是啊~	嘿嘿嘿，是啊是啊~	えへへ、偶然ってあるもんだね～	헤헤헤, 그러게~	Hehe, total coincidence~						0
12	一切都是平板与博爱之神的选择喵。	一切都是平板與博愛之神的選擇喵。	これこそが、「つるぺたと博愛の神の選択」だニャン。	이 모든 게 태블릿과 사랑의 신의 선택이다냥.	This is the choice of the benevolent goddess of flatties, nya.						0
13	……喵？	……喵？	……ニャン？	… 냥?	..."Nya"?						0
