xxx_2324758900	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	从那个布置展览的夜晚到现在，原来已经过去很久很久了。	從那個佈置展覽的夜晚到現在，原來已經過去很久很久了。	――あの展示を準備した夜から、もうずいぶん長い時間が経ったらしい。	전시회를 준비하던 날 밤부터 지금까지, 벌써 오랜 시간이 흘렀다.	A long, long time had passed since that night we set up the exhibition.						0
2	“冰——”	「冰——」	っ……！	 '차가워~'	*freeze—*						0
3	看得太入神啦！	看得太入神啦！	見入ってたね。	엄청 집중해서 보네!	You're zoning out!						0
4	脸颊上的冰感让我回神，是安卡希雅拿着冰凉的饮料罐贴了过来。	臉頰上的冰感讓我回神，是安卡希雅拿著冰涼的飲料罐貼了過來。	頬に走った冷たさで我に返る。アカシアが、冷えた飲み物の缶を私の頬に当ててきていた。	나는 볼에 닿은 차가운 감촉에 정신이 들었는데, 아카시아가 차가운 음료 캔을 갖다 댄 것이었다.	The cold against my cheek pulled me back. Acacia was pressing an icy soda can to my face.						0
5	第一次来安卡希雅房间的时候，与她一起分享的，也是这样一罐冰可乐。	第一次來安卡希雅房間的時候，與她一起分享的，也是這樣一罐冰可樂。	初めて彼女の部屋に来た日も、こうして一緒に分け合ったのは――冷たいコーラだった。	처음 아카시아 방에 왔을 때도, 이런 차가운 캔 콜라를 그녀와 함께 나눠 마셨었다.	The first time I had gone to Acacia's room, we had shared a can of icy cola like this one.						0
6	冰凉的触感没有持续太久，安卡希雅很快将饮料罐拿开放到桌上。	冰涼的觸感沒有持續太久，安卡希雅很快將飲料罐拿開放在桌上。	その氷みたいな感触は長く続かない。アカシアはすぐ缶を離して机に置いた。	차가운 느낌은 오래가지 않았고, 곧 아카시아는 캔을 탁자 위에 올려놓았다.	The chill didn't last long. Acacia soon took the can away and put it on the table.						0
7	接着用自己热乎乎的脸颊贴上了我的脸颊，亲昵地蹭蹭。	接著用自己熱呼呼的臉頰貼上了我的臉頰，親暱地磨蹭。	代わりに今度は、熱の残る頬を私の頬へ寄せて、親しげにすり、と擦りつける。	그러고는 자신의 따뜻한 볼을 내 볼에 갖다 대고 다정하게 비볐다.	Then she pressed her own warm cheek against mine, nuzzling me affectionately.						0
8	对着自己拍的照片还这么出神。	對著自己拍的照片還這麼出神。	自分たちの写真見て、そんなにぼーっとするんだね。	자기가 찍은 사진을 이렇게 정신없이 보고 있다니.	Why were you spacing out over a photo you took yourself?						0
9	因为拍得很好看，也很有纪念意义。	因為拍得很好看，也很有紀念意義。	よく撮れているからな。それに、ちゃんと記念になる。	잘 나오기도 했고, 기념할 만한 의미도 있으니까.	Because it's a good shot and holds a lot of memories.						0
