xxx_1804422753	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
girl017RM1.55.01	呜……谢谢分析员！	嗚……謝謝分析員！	うう……ありがとう、分析員……	앗… 고마워요, 분석가님!	Oh... Thank you, Adjutant!						0
girl017RM1.57.01	等等等等，这里还是自己来吧！	等等等等！這裡還是我自己來吧！	ままま待って！そこは自分で……！	자, 자, 잠깐만요. 거긴 제가 할게요!	W—Wait a second! I'll do that part myself!						0
girl017RM1.57.02	你手臂不也烫伤了吗，别乱动了。	你的手臂不是也燙到了嗎，別亂動。	腕にもかかったんじゃないのか？じっとしてろ。	팔도 데였잖아, 가만히 있어.	Did you burn your arm too? Stand still.						0
girl017RM1.57.03	那你不准一直盯着看哦！	那你不准一直盯著看喔！	じゃ、じゃあ、絶対にじろじろ見ないでね！！	그럼 계속 쳐다보지 마세요!	Then stop staring at me!						0
girl017RM1.61.01	啊！？	什麼！？	え！？	아아!?	Ah!?						0
girl017RM1.61.02	不行不行！这里我自己来！	不行不行！這裡我自己來！	だめだめだめ！そこは私が拭くから！	안 돼요, 안 돼! 거긴 제가 할게요!	N—No way! I'll do it myself!						0
girl017RM1.61.03	抱歉，我没多想就……	抱歉，我下意識就……	わ、悪い。そこまで考えてなかった……	미안해, 미처 생각 못 했어…	Sorry, I wasn't thinking...						0
girl017RM1.61.04	没……没事，分析员也是一时着急嘛。哈哈……哈……	沒……沒關係，分析員也不是故意的嘛。哈哈……哈……	だ、大丈夫だから……分析員も、慌ててたしね。あは、あはは……	괘… 괜찮아요. 분석가님도 급해서 그러셨겠죠. 하하… 하하…	It's... alright. You were just panicked. Hehehe...						0
girl015RM4.28_4.01	喂，你来真的吗？	喂，你來真的嗎？	！？本気なのね？	이봐, 진심이야?	Hey, are you serious?						0
girl015RM4.28_4.02	你说了请便吧。	你說了請便吧。	そっちがどうぞって言ったんだろ？	네가 편하게 하라면서.	You said go ahead.						0
girl015RM4.28_4.03	啧，既然如此，再让我挠一下你的脸！	嘖，既然如此，再讓我搔一下你的臉吧！	ちっ……だったら、もっかい引っ掻いてやる！	쳇, 이렇게 된 바에 그럼 계속해서 네 얼굴을 긁어야겠어!	Tch. If it's gonna be like that, let me scratch your face again!						0
girl015RM4.28_8.01	嗯……	嗯……	ふーん……	아…	Eh...?						0
girl015RM4.28_8.02	呵呵呵，真是大胆……居然敢动那里。	呵呵呵，真是大膽……居然敢動那裡。	ふふふ、大胆ね。そんなところを触るなんて。	호오, 뭐야, 대담한 걸… 감히 거기를 건드리다니.	Heheh, you're brave... You actually have the nerve to touch me there?						0
girl015RM4.28_8.03	哎，不是胳膊吗？	哎，不是手臂嗎？	あれ、腕じゃなかったのか？	아? 어깨가 아니었어?	Hey, wasn't that your arm?						0
girl015RM4.28_8.04	不过一片漆黑，我确实也看不清。	不過一片漆黑，我確實也看不清楚。	まあ、ここまで暗いと、正直全然見えてないからな。	확실히 캄캄해서 아무것도 볼 수 없는 상황이었다.	But it's pitch black. I can't see anything.						0
girl015RM4.28_8.05	哎？	哎？	はぁ？	응?	Huh?						0
girl015RM4.28_8.06	原来不是故意的吗……	原來不是故意的嗎……	わざとってわけじゃなかったんだ……	일부러 그런 거야?…	So it wasn't on purpose...?						0
girl015RM4.28_8.07	所以我到底碰到哪里了，为什么你会有一股失望的感觉……	所以我到底碰到哪裡了，為什麼你會有一種失望的感覺……	一体どこを触ってしまったんだよ、私は……なんでそんな残念そうな言い方をするんだ……	도대체 내가 어딜 만졌길래 그렇게 실망스러운 표정을 짓고 있는 거지…	Where did I touch? And why do you seem so disappointed...?						0
girl015RM4.28_16.01	怎么？还不动手吗？	怎麼？還不動手嗎？	どうしたの？まだやり返さないつもり？	근데 왜 아무것도 안 하는 거지?	So? Why aren't you making a move?						0
girl015RM4.28_16.02	我只是开个玩笑罢了。	我只是開個玩笑罷了。	あんなのはただの冗談さ。	난 그냥 농담이었는데…	I was just joking.						0
girl015RM4.28_16.03	呵呵呵，你还真是怜香惜玉呢~	呵呵呵，你還真是憐香惜玉呢~	ふふふ、優しいね。	하하하, 귀엽긴~	Heheh, you really are a gentleman~						0
girl015RM4.28_16.04	不过这可是难得能好好欺负我的机会。	不過這可是難得能好好欺負我的機會。	せっかく私をいじめられるチャンスだっていうのに。	모처럼 날 제대로 괴롭힐 수 있는 흔치 않은 기회일 텐데.	But this is a rare opportunity for you to bully me.						0
girl015RM4.28_16.05	你可要……	你可要…	ちゃんと……	어떻게…	You'd better...						0
girl015RM4.28_16.06	好~好~珍~惜~哦~	好~好~珍~惜~喔~	だ・い・じ・に、してよね？	참~ 아쉽게 됐어~	Enjoy it to the fullest~						0
girl016RM1.73.01	头稍微抬起来一点。	頭稍微抬起來一點。	よし、そのまま頭を少し上げて。	고개를 살짝 들어봐.	Raise your head up a little bit.						0
girl016RM1.73.02	呜嗯……哈哈哈……	嗚嗯……哈哈哈……	うは……ははは……	으아… 하하하…	Mmm... Hahaha...						0
girl016RM1.73.03	怎么了？	怎麼了？	どうした？	왜 그래?	What's wrong?						0
girl016RM1.73.04	哈哈哈好痒……	哈哈哈好痒……	くすぐったい！あはは！	하하하, 너무 간지러워…	Hahaha, that tickles...						0
girl016RM1.77.01	这里疼吗？	這裡會痛嗎？	ここ、痛い？	아파?	Does it hurt here?						0
girl016RM1.77.02	不痛，分析员很温柔。	不痛，分析員很溫柔。	全然痛くないぞ！分析員、優しいから！	안 아파, 너무 부드럽게 해서 문제지.	Nope. You're so gentle, Adjutant.						0
girl016RM1.77.03	噗……这里不痛说明没有问题，很健康，和我的力度没关系。	噗……這裡不痛說明沒有問題，很健康，跟我的力道沒關係。	はは……痛みがないのは健康な証さ。私のやり方が優しいからじゃないよ。	하하… 여기가 안 아프다는 건 건강하다는 뜻이야. 즉, 내 힘이랑 상관없다는 말이지.	Pfft... If it doesn't hurt, then you're fine and healthy. It has nothing to do with how gentle I am.						0
girl016RM1.77.04	和力度没关系？好复杂……不懂。	和力道沒關係？ 好複雜……不懂。	関係ないの？難しいことはわかんないぞ。	힘이랑 상관없다고? 무슨 말이지… 잘 모르겠어.	Nothing to do with how gentle you are? I don't get it...						0
girl016RM1.81.01	这里呢？感觉怎么样？	這裡呢？感覺怎麼樣？	ここは？今どんな感じがする？	여기는? 느낌이 어때?	What about here? How does it feel?						0
girl016RM1.81.02	饿了！	餓了！	腹減った！	배고파!	I'm hungry!						0
girl016RM1.81.03	我敲的是肾……我想问你疼不疼来着。	我敲的是腎臟……我想問你痛不痛來著。	腎臓のあたりが痛くないかって訊いてるんだよ。腹具合じゃなくて。	여긴 콩팥이라고… 아픈지를 묻고 싶은 거야.	I'm poking your kidney... I want to know if it hurts.						0
girl016RM1.81.04	不疼！但是肾饿了！	不痛！但是腎餓了！	痛くない！でも腎臓が減ってる！	안 아파! 하지만 콩팥이 배고파!	Nope! But my kidney is hungry!						0
girl016RM1.81.05	肾是不会饿的。	腎是不會餓的。	腎臓は減らないよ。	콩팥이 배고플 리가 없잖아…	Your kidney can't get hungry.						0
girl003RM1.48.01	……喂，你该不会是之前喝了什么吧？	……喂，你該不會是之前喝了什麼吧？	……おいニタ、まさか酔ってないか？	… 너 근데 좀 전에 뭐 마신 거 아니지?	...Hey, did you drink something earlier?						0
girl003RM1.48.02	妮塔没有回答我，而是直接抓起我的手放到她的脸上。	妮塔沒有回答我，而是直接抓起我的手放到她的臉上。	ニタは答えず、私の手を掴んで直接自分の顔に当てた。	니타는 아무 말 없이 내 손을 잡고는 그녀의 얼굴에 갖다 대었다.	Nita didn't respond. Instead, she grabbed my hand and placed it right on her face.						0
girl003RM1.48.03	看这里！	看這裡！	ここを見てくれ！	어때?!	Look here!						0
girl003RM1.48.04	是……皮肤吗？	是……皮膚嗎？	見るって……肌を？	이건… 피부잖아?	Your... skin?						0
girl003RM1.48.05	妮塔肤色健康……也很细腻紧致。	妮塔膚色健康……也很細膩緊緻。	ニタの肌は健康的な色で……触るとすべすべで弾力もある。	건강한 것 같고… 부드럽고 탄력도 좋아.	Your skin is really healthy... it's tight and smooth too.						0
girl003RM1.48.06	如同丝绸般的质感吸附住我的手指。	如同絲綢般的質感吸附住我的手指。	まるで絹のように私の指に吸いつく。	부드러운 질감 때문인지 손에도 착 달라붙고.	It felt as if her silky skin was a magnet for my fingers.						0
girl003RM1.48.07	对吧，健身才是最棒的美容产品，而且不用花什么钱。	對吧，健身才是最棒的美容產品，而且不用花什麼錢。	でしょ。トレーニングは最高の美容液だ。しかもお金もかからないし。	역시 운동이 최고의 미용이라니까. 비용도 전혀 들지 않고.	Yep. Exercise is better than any cosmetics, and it's completely free.						0
girl003RM1.55.01	啊哈哈哈，好痒……	啊哈哈哈，好癢……	あははは、くすぐったい……	꺄하하하, 간지러…	Ah—! Hahaha, that tickles...						0
girl003RM1.55.02	你那么小心干嘛，尽管用力一点啊！	你那麼小心幹嘛，儘管用力一點啊！	何遠慮してるの。もっと力を入れて！	너무 살살하는 거 아니야? 더 세게 좀 해 봐!	What're you being so careful for? You can press harder!						0
girl003RM1.55.03	那我可不跟你客气了啊。	那我就不跟你客氣了啊。	じゃあ遠慮なくいくよ？	그럼 사양하지 않고 해볼게.	Alright, then I won't hold back.						0
girl003RM1.55.04	你的腿部肌肉，练得很不错。	你的腿部肌肉，練得很好。	足の筋肉、かなり鍛えられてるね。	다리 근육 부분을 보니까 훈련 효과가 확실히 있는데?	Your leg muscles are really impressive.						0
girl003RM1.55.05	妮塔流畅的腿部肌肉线条下，蕴藏着蓬勃的生命力。	妮塔流暢的腿部肌肉線條下，蘊藏著蓬勃的生命力。	ニタのすらりとした両足はキレイなラインを作り、強い生命力が宿っている。	니타의 유연한 다리 근육은 생기 넘치는 생명력을 지니고 있었다.	Nita's fluid leg muscles were brimming with vitality.						0
girl003RM1.55.06	毕竟，比起武器我更信任自己的身体。	畢竟，比起武器我更信任自己的身體。	武器よりも、自分の体を信じているから。	난 무기보다는 내 신체를 믿는 편이거든.	After all, I trust my body way more than any weapon.						0
girl003RM1.55.07	我想起她在战场上那强悍的破坏力。	我想起她在戰場上那強悍的破壞力。	それを聞いて、戦場でのニタの凄まじい破壊力が目に浮かんだ。	순간 난 그녀가 전장에서 보여주는 강력한 파괴력을 떠올렸다.	I recalled her fierce destructive power on the battlefield.						0
girl003RM1.62.01	妮塔，你有马甲线呢。	妮塔，你有馬甲線呢。	ニタは腹筋があるんだ。	와, 니타, 11자 복근도 있네?	Nita, you have abs.						0
girl003RM1.62.02	被你发现了，这可是我最引以为傲的地方。	被你發現了，這裡是我最引以為傲的地方。	気づいた？私の一番の誇りなんだ。	이제 봤어? 이 부위는 내가 가장 자신있어하는 부위라고~	Oh, you noticed? That's my proudest achievement.						0
girl003RM1.62.03	这么有自信？	這麼有自信？	そうなのか？	뭐야 이 자신감은?	You're pretty confident, huh?						0
girl003RM1.62.04	那你别吸肚子啊。	那你別吸肚子啊。	だったら息を吸ってへこませるなよ。	그렇게 일부러 숨 들이쉬지 마!	Then stop sucking in your stomach.						0
girl003RM1.62.05	哈哈，别戳我肚脐，哈……分析员你学坏了。	哈哈，別戳我肚臍，哈……分析員你學壞了。	はは、おへそつつかないで、は……分析員の意地悪！	하하하, 아아~ 그렇게 배꼽 좀 찌르지 마. 분석가도 참… 못된 것만 배워가지고.	Haha, don't poke my belly button. Hah... Bad Adjutant!						0
Girl018RM1.9.01	我就知道会是这种地方，分析员果然……	我就知道會是這種地方，分析員果然……	そんなところを触るなんて、分析員さんったら、やっぱり……	역시나, 이런 곳을 만질 줄 알았어요. 분석가님은…	I just knew it would be somewhere like that. Adjutant, you really...						0
Girl018RM1.10.01	一直碰这种地方，就算是老夫老妻，也会害羞的。	一直碰這種地方，就算是老夫老妻，也會害羞的。	いくら夫婦でも、そんな執拗に触られると照れてしまいます。	계속 이런 곳을 만지면, 아무리 오래된 부부라도 어쩔 수 없다고요.	If you keep touching me there, I'd get embarrassed even after being married for decades.						0
Girl018RM1.11.01	呜。	嗚。	うっ……	으흥…	Oh!						0
Girl018RM1.11.02	都说了还没有小孩啦，除非分析员再努力一些。不过那不是早上该做的事情。	都說了還沒有小孩啦，除非分析員再努力一點。不過那不是早上該做的事情。	まだ子供がいないとは言いましたけどね……でも、いくらなんでも朝っぱらからすることじゃないですし……	이러니까 아이가 없는 거라고요. 분석가님이 노력하지 않는 이상 계속 없을 거예요. 그리고 이런 건 아침에 할 행동들이 아니에요.	I said we don't have any kids yet because you need to work harder, Adjutant. But that's not something you should do in the morning.						0
Girl008RM5.58.01	呵呵，还真是不出本小姐所料。	呵呵，還真是不出本小姐所料。	ふふ、あたしの思った通りね。	흐흐, 역시 내가 예상한 대로야.	Heh, just as I thought.						0
Girl008RM5.58.02	亲爱的对这地方情有独钟。	親愛的對這地方情有獨鍾。	やっぱりそこが好きなんだ？	자기는 여길 정말 좋아하는구나.	You love this spot, don't you, darling...						0
Girl008RM5.58.03	唔……嗯……	唔……嗯……	うっ……んんっ……	아… 음…	Ooh... ah...						0
