xxx_3478015960	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	……分析员……	……分析員……	……分析員……	… 분석가…	...Adjutant...						0
2	看着我……分析员……我要你看着我……	看著我……分析員……我要你看著我……	ねえ、分析員……あたしを見て……あたしを……	날 봐… 분석가… 날 바라봐 줘…	Look at me... Adjutant... I want you to look at me...						0
3	昏暗，燥热……耳畔的气息灼热，但无论那呼唤声有多么真切，我的视线却始终模糊。	昏暗，燥熱……耳畔的氣息灼熱，但無論那呼喚聲有多麼真切，我的視線卻始終模糊。	薄暗くて、暑苦しい。耳にかかる吐息の熱がハッキリと伝わってきても、私の視界はぼやけたままだ。	어둡고, 덥고… 귓가의 숨결은 따갑지만 그 외침이 아무리 선명해도 내 시선은 여전히 흐릿했다.	Darkness, heat... The breath next to my ear was scorching. But no matter how real the calling voice felt, my vision was still hazy.						0
4	身体疲惫到无以复加，连抬起一根手指都做不到，但皮肤的触感却偏偏因之变得敏锐……连正在我身体上游走的手掌到底有多么柔嫩都可以捕捉。	身體疲憊到無以復加，連抬起一根手指都做不到，但皮膚的觸感卻偏偏因之變得敏銳……連正在我身體上游走的手掌到底有多麼柔嫩都可以捕捉。	疲れ果てた体では指ひとつ動かすことが出来ないのに……逆に触覚は研ぎ澄まされて、肌を撫でる掌の柔らかさを鮮明に脳へと伝えて来る。	몸은 손가락 하나 못 들 정도로 피곤한데 피부 감촉은 더욱 예리해졌다… 내 몸을 스치는 손바닥이 얼마나 부드러운지까지도 포착할 수 있을 정도였다.	I was so exhausted that I couldn't even lift a finger, but my skin had grown far more sensitive to stimuli... I could even discern how tender the palm wandering over my body was.						0
5	如同从衣角的缝隙里钻进去的一条蛇……有什么，不，有谁……正在尝试探索我。	如同從衣角的縫隙裡鑽進去的一條蛇……有什麼，不，有誰……正在嘗試探索我。	服の下にヘビが潜り込むような感覚があった。なにかが……いや。誰かが、私を探ろうとしているようだ。	옷자락 틈새로 파고드는 뱀처럼… 뭐가, 아니, 누가… 나를 탐색하려 하고 있다.	It was like a snake invading a gap in my clothing... something, or rather someone... was attempting to explore me.						0
6	小腹……肋骨……胸口，直至咽喉，然后无声无息地贴满了我的脸。	小腹……肋骨……胸口，直至咽喉，然後無聲無息地貼滿了我的臉。	横腹から肋骨、胸、喉にかけて……最終的に、私の顔に辿り着いた。	아랫배… 갈비뼈… 가슴, 목구멍까지… 그리고 소리 없이 내 얼굴을 점령했다.	The hand glided over my stomach... ribs... chest... then throat before silently resting on my cheek.						0
7	看着我好不好……只看着我一个人，好不好……	看著我好不好……只看著我一個人，好不好……	あたしを見て……あたしを、あたしだけを……ねえ……	날 좀 바라봐 줄래…? 나만 바라봐 줘, 응…?	Look at me, okay? ...Only look at me, okay...						0
8	如怨如慕，细语痴缠，但那份腔调里还是带着她独有的……娇蛮？	如怨如慕，細語癡纏，但那份腔調裡還是帶著她獨有的……嬌蠻？	恨むような、慕うような囁きが私を包み込んだ。それでも、彼女特有の強情さは残っていた。	원망스러운 속삭임, 그 속에는 그녀만의 애교까지 섞여 있다…	Her tone was simultaneously full of jealousy and affection as she whispered. However, there was also her ever-present, unique... flirtatious attitude.						0
9	她骑乘在我身上，匍匐在我胸口，任由发丝在我的脖子上散开。发梢的摩挲混着这些语气中的幽怨，把最砭骨的麻痒一点一点地送进了我的身体里。	她騎乘在我身上，匍匐在我胸口，任由髮絲在我的脖子上散開。髮梢的摩挲混著這些語氣中的幽怨，把最砭骨的麻癢一點一點地送進了我的身體裡。	私の上で馬乗りになった彼女は、私の胸に体を寄せた。彼女の綺麗な金髪はその呟きと共に、ちょっとずつ私の体に耐えがたい疼きを送り込んでくる。	그녀는 내 몸에 올라타더니 내 가슴 위에 엎드려, 머리카락이 내 목에서 흘러내리도록 내버려두었다. 머리끝의 스침과 원망이 섞인 목소리가 가장 찌릿한 간지러움을 조금씩 내 몸속으로 밀어 넣었다.	She straddled me, crawling over my chest and allowing her hair to brush against my neck. The feeling of her hair mixed with the resentment in her voice sent an intense tingling sensation throughout my body.						0
