xxx_1133913540	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	墨菲斯，它在我所交手过的敌人中算得上特殊。	墨菲斯，它在我所交手過的敵人中算得上特殊。	モルペウスは、今まで遭遇してきた中でかなり特殊な敵だった。	모르페우스는 내가 상대했던 적들 중, 비교적 특이한 존재이다.	Among all the enemies I'd dealt with, Morpheus was undeniably special.						0
2	一方面，它不知吸收了多少泰坦的力量，利用这几乎无尽的泰坦物质能量，它才一次又一次地接下了我们三人的连番攻击。	一方面，它不知吸收了多少泰坦的力量，利用這幾乎無盡的泰坦物質能量，它才一次又一次地接下了我們三人的連番攻擊。	数えきれないタイタンのエネルギーを吸収したからか、彼女は無尽蔵とも言えるタイタン物質の力で、私たち三人の攻撃を何度も受け流した。	얼마나 많은 타이탄의 힘을 흡수했는지, 끝이 보이지 않는 타이탄 물질 에너지를 이용해 우리 세 명을 향해 끝없는 공격을 퍼부었다.	On one hand, she had absorbed an unfathomable amount of power from the Titans. With this near-limitless energy, she withstood our relentless attacks.						0
3	但另一方面，它又是如此消极，明明可以发起更加猛烈的攻势，它却始终与我们保持着距离，不断寻找着逃走的机会。	但另一方面，它又是如此消極，明明可以發動更猛烈的攻勢，它卻始終與我們保持著距離，不斷尋找著逃走的機會。	しかしその戦い方はひどく消極的だった。もっと猛烈な攻撃を仕掛ける力を持っているはずなのに、終始私たちと距離を取りながら逃げるチャンスを探っていた。	하지만 한편으로는 정말 소극적이었다. 분명 더 강력한 공격을 퍼부을 수 있었지만 처음부터 계속 일정 거리를 유지하며 도망칠 기회를 노리고 있었다.	On the other hand, she was oddly passive. Despite having the ability to unleash devastating counterattacks, she kept her distance, constantly searching for an escape.						0
4	这样被动的战斗方式让它最终露出了破绽，又一轮火力攻势过后，它便已经无力维持真神者的形态。	這樣被動的戰鬥方式讓它最終露出了破綻，又一輪火力攻勢過後，它便已經無力維持真神者的形態。	無論そんなチャンスを与えるはずはない。私たちの集中火力で隙を突かれ、ついに彼女は至上者の姿を維持する力すらなくなった。	이러한 수동적인 전투 때문에 결국 그는 약점을 드러냈고, 마지막 화력 공세를 끝으로, 그는 조물주 형태를 더 이상 유지할 수 없게 되었다.	But this passive fighting style eventually exposed a weakness. After another relentless barrage, she could no longer sustain her Demiurge form.						0
5	呃……啊……	呃……啊……	うっ……あっ……	윽… 아…	Ugh... agh...						0
6	它跪坐下来，我则借机逼近，用枪口顶住了它的头。	它跪坐下來，我則藉機逼近，用槍口頂住了它的頭。	膝から崩れて座り込んだ彼女に歩み寄って、私は銃口をその額に当てる。	그는 무릎을 꿇으며 주저앉았고, 난 기회를 놓치지 않고 가까이 다가가 그의 머리에 총구를 겨누었다.	She collapsed to her knees. Seizing the moment, I closed the distance, pressing the barrel of my gun against her head.						0
7	您……还是不愿意考虑一下我的提议吗？	您……還是不願意考慮我的提議嗎？	提案……どうしても受け入れられないんですか？	혹시… 제 제안을 다시 한번 생각해 보지 않으실래요?	Are you... still unwilling to consider our proposal?						0
8	墨菲斯紧紧捂着自己的胸口，试图阻止从中不断流出的能量。	墨菲斯緊緊摀住自己的胸口，試圖阻止從中不斷流出的能量。	胸にぽかんと開いた穴に手を押さえ、そこからじんわりとにじみ出るどろっとした液体を止めようとしていたモルペウス。	모르페우스는 가슴을 움켜잡으며 계속해서 흘러나오는 에너지를 막으려고 노력했다.	Morpheus clutched her chest, struggling to contain the energy leaking from her body.						0
9	我们四目相对，她的眼中透露着悲戚的神色，像是真的在乞求我的原谅。	我們四目相對，她的眼神透露著悲戚的神色，像是真的在乞求我的原諒。	その悲しそうな視線は、まるで許しを乞うているように見える。	그녀와 눈이 마주쳤다. 그녀의 표정에는 수심이 가득했고, 정말로 나의 용서를 구걸하는 것 같았다.	Our eyes met, and in them, I saw sorrow, as if silently pleading for my forgiveness.						0
10	真可惜，我本来以为……您会是一个很温柔的人。	真可惜，我本來以為……您會是個很溫柔的人。	残念です……あなたは、優しい人だと……思っていました。	정말 아쉽네요, 전 당신이… 정말 따뜻한 사람인 줄 알았거든요.	What a shame... I thought you were a gentleman with a tender heart.						0
11	分析员——当然是天底下最温柔的人！	分析員——當然是天底下最溫柔的人！	分析員はもちろん、この世で一番優しい人です！	분석가는 세상에서 가장 따뜻한 사람이 맞아!	The Adjutant has the most tender heart in the world!						0
12	恩雅的子弹再次洞穿了墨菲斯本就受到重创的身体，更多的能量如流沙般从伤口处溢出。	恩雅的子彈再次洞穿了墨菲斯本就受到重創的身體，更多的能量如流沙般從傷口處溢出。	エンヤの銃弾がもう一度モルペウスのボロボロの体を貫く。するとその傷口から液体は勢いを増してとりどめなく流れてきた。	엔야의 총알은 다시 한번 중상을 입은 모르페우스의 몸을 관통했다. 상처에서는 더 많은 에너지가 모래처럼 흘러나왔다.	Enya's bullet tore through Morpheus' already battered body, and more energy seeped from the wound like sand slipping through fingers.						0
