xxx_3941159297	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	人流纷纷扰扰，自我的身边穿过，可对我而言仿若无物。我只是凝望着那个少女。	人流紛紛擾擾，自我的身邊穿過，但對我而言彷若無物。我只是凝望著那個少女。	人波がざわざわと私の横を通り過ぎていく。だが私はすべてを無視した。ただ、あの少女を見つめていた。	사람들이 쉴 새 없이 스쳐 지나갔지만, 나는 아랑곳하지 않고 그 소녀에게만 시선을 고정했다.	The crowd shifted and surged around me — but to me, it was like they didn't exist. I kept my gaze on her.						0
2	不会的……不会的……	不會的……不會的……	こんなの……ありえないよ……！	그럴 리가… 그럴 리가 없어…	No... no... This can't be happening...						0
3	我看见莉琪，她的身体瑟缩着，颤抖着，仿佛被抽去所有的力气。	我看見莉琪，她的身體縮著，顫抖著，像是被抽去所有的力氣。	リジが震えながら、力を抜かれたみたいに縮こまっていた。	리지는 몸을 움츠리며 떨었다. 온몸의 힘이 빠져나간 듯했다.	Lizzie stood hunched over, trembling — as if her body had been drained of all strength.						0
4	将她包围的情绪是悲伤吧，潮水一样弥漫，让人喘不过气的悲伤。	將她包圍的情緒是悲傷吧，潮水一樣瀰漫，讓人喘不過氣的悲傷。	彼女を包み込む感情は悲しみなのだろう。満ちた潮のように広がり、息苦しくなるほどの悲しみだ。	슬픔이 그녀를 에워싸고 있었다. 그 슬픔은 밀물처럼 퍼져나가 숨조차 쉬기 힘들게 만들었다.	She was wrapped in sorrow. Drenched in it. Waves crashing in from all sides, thick and suffocating.						0
5	她到底…经历了什么？	她到底……經歷了什麼？	彼女は一体……なにを経験したのか？	도대체… 무슨 일이 있었던 걸까?	What on earth had she gone through...?						0
6	看着那样的少女，我的胸口也像是有什么堵着，难以呼吸。	看著那樣的少女，我的胸口也像是被什麼堵住，難以呼吸。	そんな少女を見て、私も胸になにかが詰まったように息苦しくなった。	그런 모습을 보고 있자니, 나도 가슴이 무언가에 막힌 듯 답답해졌다.	Watching her like that, something twisted in my chest, like a weight pressing down, suffocating me.						0
7	不……不对……这种感觉，我的胸口好像真被压上了什么。	不……不對……這種感覺，我的胸口好像真的被壓上了什麼。	いや……違う……この感じは、本当に胸の上になにかが乗っているようだ。	아니… 아니다… 이건 가슴 위에 정말로 무언가 올라와 있는 느낌이다.	...No. Wait. It wasn't just a feeling. There really was something pressing on my chest.						0
8	脑海浮现这个想法的瞬间，我便清醒过来，睁开了眼睛。	腦海浮現這個想法的瞬間，我便清醒過來，睜開了眼睛。	その考えが浮かんだ瞬間、私は目を覚ました。	이런 생각이 스치자, 나는 정신이 들면서 눈을 떴다.	The moment that thought registered, I jolted awake.						0
9	呼……哈……	呼……哈……	ふぅ……はぁ……	후… 하…	Haa... ngh...						0
10	而在看清楚身上的柔软重量来源于何后，我紧绷的身体渐渐放松下来。	而在看清楚身上的柔軟重量來自何後，我緊繃的身體漸漸放鬆下來。	私は感じる重みに一瞬体をこわばらせたが、またゆっくりと力を緩めた。	그 부드러운 중량의 정체를 알아차리자, 나는 몸의 긴장이 서서히 풀렸다.	But after seeing the source of the soft pressure on me, my tense body gradually relaxed.						0
11	我无奈又好笑地望着趴在我怀里的少女。	我無奈又好笑地看著趴在我懷裡的少女。	そして、苦笑しながら、私の胸にうつぶせになっている少女を見つめた。	나는 난처하게 웃으며 내 품에 엎드려 있는 소녀를 바라봤다.	I looked down — half amused, half resigned — at the familiar figure sprawled across my chest.						0
12	诶嘿嘿，分析员，我的分析员……	欸嘿嘿，分析員，我的分析員……	えへへ、分析員さん……私の分析員さん……	헤헤헤, 분석가님, 나의 분석가님…	Eheheh... Adjutant... My sweet Adjutant...						0
13	薇蒂雅。	薇蒂雅。	ヴィディア。	비디야.	Vidya.						0
14	咦……？	咦……？	あれ……？	으음…?	Hmm?						0
15	在我轻声地呼唤下，薇蒂雅缓缓睁开眼睛，一副睡眼惺忪的模样。她胡乱在枕边摸了摸自己的眼镜，然后略带茫然地戴在了脸上。	在我輕聲地呼喚下，薇蒂雅緩緩睜開了眼睛，一副睡眼惺忪的模樣。她在枕邊一陣亂摸找自己的眼鏡，然後略帶茫然地戴在了臉上。	私の優しい呼びかけに、ヴィディアは眠そうな目を開けた。彼女は乱暴な手つきで枕元のメガネを探し、少しぼんやりとした表情で顔につけた。	나의 나지막한 부름을 들은 비디야가 천천히 눈을 떴고, 잠이 덜 깬 모습이었다. 그녀는 베개 옆을 마구 더듬으며 안경을 찾더니 살짝 멍한 표정으로 안경을 썼다.	At the sound of my voice, Vidya stirred, blinking groggily. She fumbled across the pillow for her glasses, perched them on her face, and looked up, dazed.						0
16	我在做梦吗？	我在做夢嗎？	夢、ですか……	내가 꿈을 꾸고 있나?	Is this... a dream?						0
17	呼呼……好真实的梦。	呼呼……好真實的夢。	ふふ……それにしてもすごくリアルですね……	후후… 정말 생생한 꿈이었어.	Heheh... wow. This one feels really real.						0
18	不愧是我呢……最近的梦越来越逼真了。	不愧是我呢……最近的夢越來越逼真了。	さすがは私……最近の夢、どんどんリアルになってきました……	역시 나답네… 요즘 꿈이 점점 더 생생해지고 있어.	Not bad, Vidya. Your dream quality's definitely improving.						0
19	一双纤手毫不客气地捧住了我的脸，然后略微用力挤了挤。	一雙纖手毫不客氣地捧住了我的臉，然後稍微用力地擠了擠​​。	繊細な手が無遠慮に私の顔を掴み、少し力を込めて押えた。	가냘픈 두 손이 거침없이 내 얼굴을 감싸더니, 살짝 힘을 주어 꼬집었다.	Without a hint of hesitation, her delicate hands cupped my face — and gave my cheeks a playful little squeeze.						0
20	也只有在梦中……我才敢……这样欺负分析员……嘿嘿。	也只有在夢中……我才敢……這樣欺負分析員……嘿嘿。	夢のなかじゃないと……分析員さんを……こうしていじめることなんてできませんし……えへへ。	꿈속에 있으니… 이렇게… 분석가님을 괴롭힐 수도 있네… 헤헤.	It's only in my dreams... that I'd dare mess with you like this, Adjutant... hehe...						0
21	分析员的脸摸起来真舒服。	分析員的臉摸起來真舒服。	分析員さん、頬がすべすべ……	분석가님의 얼굴은 말랑말랑해서 너무 좋아.	Mmm. Your face is so nice to touch...						0
22	然后是硬邦邦……结实的胸肌。	然後是硬邦邦……結實的胸肌。	胸板はガチガチ……	그리고 가슴 근육은… 단단하고 탄탄하지.	And now... ooh, those rock-hard pecs...						0
