xxx_1762040342	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	薇蒂雅抓紧了我的手。	薇蒂雅抓緊了我的手。	私の手をさらに強く握りしめるヴィディア。	비디야가 내 손을 꼭 잡았다.	Vidya squeezed my hand.						0
2	她的手纤细且柔软，手心的温度滚烫，好像有源源不断的情愫，从这样的温度中沁入我的身体，挑拨着我的灵魂。	她的手纖細且柔軟，手心的溫度滾燙，好像有源源不絕的情愫，從這樣的溫度中沁入我的身體，挑撥著我的靈魂。	その手は細く柔らかい。掌の熱が絶え間なく私の身体へと沁み込み、魂をそっと揺らす。	그녀의 가느다란 손은 부드러웠고, 손바닥의 온기는 뜨거웠다. 마치 끝없는 감정이 이 온기를 통해 내 몸속으로 스며들어 내 영혼을 흔드는 것 같았다.	Her hand was slender and soft, her palm burning hot. It felt like an endless current of affection flowed through that warmth, stirring my soul.						0
3	她没有回头，可我能够清晰看见，她白皙的耳垂已经全部被染成了诱人的粉红。	她沒有回頭，但我能夠清晰看見，她白皙的耳垂已經全部被染成了誘人的粉紅。	彼女は振り向かない。それでも、雪のように白い耳たぶが可憐な桃色に染まっていくのが、はっきり分かる。	그녀가 뒤돌아보지 않아도 선명하게 볼 수 있었다. 그녀의 하얀 귓불이 매력적인 분홍빛으로 물들어 있었다.	She didn't look back, yet I could clearly see her ears had turned a tempting shade of pink.						0
4	很明显，她已经想明白了今天的“不正常”。	很明顯，她已經想通了今天的「不正常」。	――そう、ヴィディアは今日の「異常」にとうに気づいている。	역시 그녀는 오늘의 '비정상적인 상황'을 이해한 듯했다.	It was obvious she'd finally realized something was "off" about today.						0
5	很明显……她接下来要带我去的，不再属于她做梦素材的记录。	並且……她接下來要帶我去的，不再是屬於她做夢素材的紀錄。	そして、いまから向かう場所は、もはや彼女の「夢素材」ではない。ここから先は、ふたりだけに許された景色。	역시… 이제 그녀가 나를 데려갈 곳은 더 이상 그녀의 꿈 소재를 기록한 곳이 아닐 것이다.	And equally apparent... where she would take me next had nothing to do with her dream notes anymore.						0
6	但我很清楚，这会是属于我和她的地方。	但我很清楚，這會是屬於我和她的地方。	それを私はよく知っている。	하지만 분명한 건, 이제 그곳은 나와 그녀만의 공간이 될 것이다.	But I knew — this would be somewhere for just the two of us.						0
7	不久后，我们回到了她的房间。	不久後，我們回到了她的房間。	ほどなくして、彼女の部屋へ戻ってきた。	잠시 후, 우리는 그녀의 방으로 돌아왔다.	Before long, we were back in her room.						0
8	所以，薇蒂雅重要的东西，最后其实是落在房间里了？	所以，薇蒂雅重要的東西，最後其實是掉在房間裡了？	つまり――ヴィディアの大切な物は、最後には部屋に残っていたってわけか？	그래서, 비디야의 소중한 물건이 사실은 방 안에 있었던 거야?	So, your important item was here the whole time?						0
9	我打趣般望着回望而来的少女。	我打趣般望著回頭看我的少女。	冗談めかして言いながら、こちらを見返す彼女に視線を重ねる。	나는 나를 향해 뒤돌아보는 소녀를 장난스럽게 바라보았다.	I teased, watching her as she turned to face me.						0
