xxx_1316999055	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	白天在罗森兰发生的一切，将这座城市搅得天翻地覆。	白天在羅森蘭發生的一切，將這座城市攪得天翻地覆。	昼間のローズランで起きた災厄は、街を大混乱に陥れた。	낮에 벌어진 일들은 로젠란을 완전히 뒤집어 놓았다.	Everything that had happened in Luchellan that day had thrown the entire city into turmoil.						0
2	安德烈奥蒂家族的大部分力量，都在茉莉安的指挥下抢险救灾。而玛德琳则率领一支小队继续追捕苏菲。	安德烈奧蒂家族的大部分力量，都在茉莉安的指揮下搶險救災。而瑪德琳則率領一支小隊繼續追捕蘇菲。	アンドレオッチ家の大半はマリアンの指揮のもと、救援に当たっている。そしてマデリンは小隊を率いてソフィーの追跡を続けている。	안드레오티 가문의 병력 대부분은 마리안의 지휘 아래 재난 구조 작업에 투입되었고, 마들렌은 소대를 이끌고 소피를 계속해서 추적했다.	Most of the Andreotti family's forces were still out on disaster relief under Marian's command. Madeleine had taken a separate unit to continue the hunt for Sophie.						0
3	安卡希雅和胧嫣在瑟茜的指导下，继续稳定崇福街居民的病情。	安卡希雅和朧嫣在瑟茜的指導下，繼續穩定崇福街居民的病情。	アカシアとロウエンはセシルの指示に従い、招福街の住民を治療していた。	아카시아와 로엔은 세르시와 함께 숭복가 주민들의 병세를 안정시키려 애썼다.	On Chongfu Street, Acacia and Longyan worked under Sersie's guidance, keeping watch over the residents' recovery.						0
4	至于我，在耗尽体内的泰坦物质后，拗不过安卡希雅和茉莉安的坚持，只能留在安德烈奥蒂家的庄园里休养。	至於我，在耗盡體內的泰坦物質後，敵不過安卡希雅和茉莉安的堅持，只能留在安德烈奧蒂家的莊園裡休養。	一方の私は、体内のタイタン物質を使い果たしてしまい、アカシアとマリアンの強い説得に押し切られて、アンドレオッチ家の屋敷で静養することになった。	나는 체내의 타이탄 물질을 소진한 후, 아카시아와 마리안의 강요를 이기지 못하고 안드레오티 가문의 장원에 남아 요양하는 수밖에 없었다.	As for me, I had burned through every last bit of Titagen in my system. Acacia and Marian were having none of it, and before long, it was clear I wasn't going anywhere but back to the Andreotti manor to recover.						0
5	因为冰封了整座城市的缘故，夜里气温骤降，女仆们贴心地准备好了供暖系统，壁炉里的火光明灭跳跃，在墙上留下了橘红色的影子。	因為冰封了整座城市的緣故，夜裡氣溫驟降，女僕們貼心地準備好了供暖系統，壁爐裡的火光明滅跳躍，在牆上留下了橘紅色的影子。	街全体が氷に閉ざされている影響で、夜は一気に冷え込んだ。メイドたちが整えた暖房のきいた室内で、暖炉の炎が揺れ、壁に橙色の影を映している。	도시 전체를 얼려버린 탓에 밤 기온이 급격히 떨어지자 메이드들이 세심하게 난방 시스템을 준비해 주었고, 벽난로의 불빛이 명멸하며 벽에 주황빛 그림자를 드리웠다.	The city remained frozen over, and the cold deepened as night fell. Inside the manor, the heat was already on and the fireplace lit, the work of the maids moving quietly through the house. Cosy flames flickered, casting a warm glow across the walls.						0
6	咚咚咚。	叩叩叩。	コンコン。	똑똑똑.	Knock, knock.						0
7	轻轻的敲门声响起，在我打开门后，茉莉安缓缓地走了进来。	輕輕的敲門聲響起，在我打開門後，茉莉安緩慢地走了進來。	控えめなノックの音が響いた。ドアを開けると、マリアンがゆっくりと部屋に入ってきた。	가벼운 노크 소리에 내가 문을 열자, 마리안이 천천히 안으로 들어왔다.	There was a gentle knock at the door. I opened it to find Marian standing there.						0
8	她看起来有些疲惫，眼下浮现出淡淡的青紫。	她看起來有點疲憊，眼下浮現出淡淡的青紫。	どこか疲れたような彼女の目の下にはクマができていた。	지쳐 보이는 그녀의 눈 밑이 조금 어두웠다.	She stepped inside slowly, fatigue evident in her posture. Faint shadows lingered beneath her eyes.						0
9	罗森兰的情况如何？	羅森蘭的情況如何？	ローズランの状況はどうだ？	로젠란 상황은 좀 어때?	How are things in Luchellan?						0
