xxx_1868775094	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
ID	path															
1001000	Icon/FightBuff/Frames/icon_online_buff01_png.icon_online_buff01_png															
1001001	Icon/FightBuff/Frames/icon_online_buff02_png.icon_online_buff02_png															
1001002	Icon/FightBuff/Frames/icon_online_buff03_png.icon_online_buff03_png															
1001003	Icon/FightBuff/Frames/icon_online_buff04_png.icon_online_buff04_png															
1001004	Icon/FightBuff/Frames/icon_online_buff05_png.icon_online_buff05_png															
1001005	Icon/FightBuff/Frames/icon_online_buff06_png.icon_online_buff06_png															
1001006	Icon/FightBuff/Frames/icon_online_buff07_png.icon_online_buff07_png															
1001007	Icon/FightBuff/Frames/icon_online_buff08_png.icon_online_buff08_png															
1001008	Icon/FightBuff/Frames/icon_online_buff09_png.icon_online_buff09_png															
1001009	Icon/FightBuff/Frames/icon_online_buff10_png.icon_online_buff10_png															
1001010	Icon/FightBuff/Frames/icon_online_buff13_png.icon_online_buff13_png															
1001011	Icon/FightBuff/Frames/icon_online_buff11_png.icon_online_buff11_png															
1001012	Icon/FightBuff/Frames/icon_online_buff12_png.icon_online_buff12_png															
1001013	Icon/DLC2buff/Frames/icon_repression01_buff001_png.icon_repression01_buff001_png															
1001014	Icon/DLC2buff/Frames/icon_repression01_buff002_png.icon_repression01_buff002_png															
1001015	Icon/DLC2buff/Frames/icon_repression01_buff003_png.icon_repression01_buff003_png															
1001016	Icon/DLC2buff/Frames/icon_repression01_buff004_png.icon_repression01_buff004_png															
1001017	Icon/DLC2buff/Frames/icon_repression01_buff005_png.icon_repression01_buff005_png															
1001018	Icon/DLC2buff/Frames/icon_repression01_buff006_png.icon_repression01_buff006_png															
1001019	Icon/DLC2buff/Frames/icon_repression01_buff007_png.icon_repression01_buff007_png															
1001020	Icon/DLC2buff/Frames/icon_repression01_buff008_png.icon_repression01_buff008_png															
1001021	Icon/DLC2buff/Frames/icon_repression01_buff009_png.icon_repression01_buff009_png															
1001022	Icon/DLC2buff/Frames/icon_repression01_buff010_png.icon_repression01_buff010_png															
1001023	Icon/DLC2buff/Frames/icon_repression01_buff011_png.icon_repression01_buff011_png															
1001024	Icon/DLC2buff/Frames/icon_repression01_buff012_png.icon_repression01_buff012_png															
1001025	Icon/DLC2buff/Frames/icon_repression02_buff001_png.icon_repression02_buff001_png															
1001026	Icon/DLC2buff/Frames/icon_repression02_buff002_png.icon_repression02_buff002_png															
