xxx_3817439327	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	几天后，心率实验结束，极限心率最终定格在了215bpm这个数字。	幾天後，心率實驗結束，極限心率最終定格在了215bpm這個數字。	やがて数日後、心拍実験は215bpmで最終的に確定。	며칠 후, 심박수 실험이 끝났고, 심박수는 결국 215bpm이라는 숫자로 마무리되었다.	Days passed. The "Pulse experiment" wrapped with a final reading: 215 bpm.						0
2	这个数字象征了许多，我们对彼此的了解比往日更甚，浓烈的爱意也终于传递到了对方心中。	這個數字象徵了許多，我們對彼此的了解比往日更甚，濃烈的愛意也終於傳遞到了對方心中。	この数値から、お互いを深く知ったことや、普段は言えない想いが通じ合ったことなどを感じる。	이런 숫자는 많은 걸 상징하기도 했다. 우리는 서로에 대해 더 깊이 이해하게 되었고, 강렬한 사랑의 마음도 마침내 서로에게 전할 수 있었다.	This number held so much meaning. It was the culmination of everything we had come to understand about each other. The love we felt was finally felt, deep in each other's hearts.						0
3	但眼前的许多许多也只是两心交融过程中一个小小篇章。	但眼前的許多許多也只是兩心交融過程中一個小篇章。	ただ、それでも二人の物語はまだまだ先がある。	하지만 눈앞의 많은 것들은 두 마음이 융합하는 과정의 작은 한 페이지에 불과했다.	And yet, this was just one chapter in a much larger story.						0
4	我与妮塔还有很长的路要走，即使以生命为刻度来丈量这段旅程，也毫不夸张。	我與妮塔還有很長的路要走，即使以生命為刻度來測量這段旅程，也毫不誇張。	一生かけて歩む道のほんの一里塚に過ぎないのだ。	나와 니타는 아직 많은 시간을 함께할 것이고, 이 여정을 생명의 척도로 재더라도 전혀 과언이 아니었다.	Not one counted in fleeting hours or passing days — but in the quiet permanence of a lifetime.						0
5	得益于模组调试还需要一段时间，我和妮塔难得悠闲起来。	得益於模組調整還需要一段時間，我和妮塔難得悠閒起來。	モジュールの最終調整まで少しよゆうがあり、その間はニタとまったり過ごせそうだ。	모듈 조정에 아직 시간이 더 필요했기 때문에, 나와 니타는 간만에 여유를 즐겼다.	With the mod still undergoing calibration, Nita and I found ourselves with a few unhurried days — a rare luxury for the two of us.						0
6	在她的计划中，此时的我们本该一起享受夜晚的微风、璀璨的星夜。	在她的計畫中，此時的我們本該一起享受夜晚的微風、璀璨的星夜。	ニタの予定では、夜の涼しい風と星空を楽しむ…はずだったが。	그녀의 계획대로라면, 우리는 밤의 산들바람과 찬란한 별빛을 즐기고 있을 때였다.	She had big plans for us: stargazing under the open sky, soaking in the breeze and the silence between the stars.						0
7	妮塔？	妮塔？	ニタ？	니타?	Nita?						0
8	出声呼唤后，我没得到任何的回应。因为身边人早就沉沉睡去，只传来平稳的呼吸声。	出聲呼喚後，我沒有得到任何的回應。因為身邊人早就沉沉睡去，只傳來平穩的呼吸聲。	声をかけても反応なし。どうやら先に眠ってしまったようだ。	목소리를 내어 불러보았지만, 아무런 대답이 없었다. 내 옆에 있는 그녀는 이미 깊은 잠에 빠져 있었고, 오직 평온한 숨소리만이 들려왔다.	No response. She'd already nodded off, her breathing soft and steady.						0
9	真是的，明明拉我来看星星，居然自己睡着了。	真是的，明明拉我來看星星，居然自己睡著了。	まったく…誘っておいて、自分が先に眠るとはな。	정말이지… 별 보러 가자고 해 놓고, 혼자서 잠들다니.	Really now... You drag me out here to stargaze, and then you're the one who falls asleep?						0
