xxx_3278759623	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
ID	Type	MapID	FightID	Condition	ConsumeVigor	StarCondition	Monster	LevelStrength	ShowListType	RecommendPower	RecommendLevelOffset	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	TimlyTeamRule	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	PictureLevel	TaskPath	Buff	LevelTime	NoSlotStory	OpenNextLevelTeam	UseLastTeam	BackChapter	RoleAdapteId	BuffEx
9012	0	12	1		{0,0}		{4001211,4001212,6001201}		1			0	0		0	0			{}									Task01/Task01.Task01								
9013	0	13	1		{0,0}		{4001211,4001212,6001201}		1			0	0		0	0			{}									Task01/Task01.Task01								
11	0	11	1		{0,0}		{4001211,4001212,6001201}		1			0	0		0	0			{}									Task01/Task01.Task01								
10	0	10	1		{0,0}		{4001211,4001212,6001201}		0			0	0		0	0			{}									Task00/MonsterTestTask.MonsterTestTask								
16	0	16	1		{0,0}		{4001211,4001212,6001201}		0			0	0		0	0			{}									Task00/TDTestTask.TDTestTask								
34	0	34	1		{0,0}				0										{}									Task00/MaterialsTestTask.MaterialsTestTask								
41	0	41	1		{0,0}				0										{}									Task14/Task14_06.Task14_06								
10100	0	10100	1		{0,0}		{4001211,4001212,6001201}	1	1			0	0		0	0			{}									Task01/Task01_00.Task01_00	{4000010}							
10101	0	10101	1	{{2,50151}}	{0,6}	{{9},{4,1,sp_weapontype1},{1,360}}	{4001004,400100301}	1	0			0	0	10102	6	400			{}	{1020}	{1034}		{{4,3,1,1,600},{4,3,3,1,6},{5,1,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,1}}		1801000	Task01/Task01_01.Task01_01	{4000010}	600			1			
10102	0	10102	1	{{2,10101}}	{0,6}	{{9},{4,1,sp_weapontype3},{1,360}}	{400100301,4001004}	1	0			0	0	50152	6		10102		{}	{1002}	{1035}		{{4,3,1,1,600},{4,3,3,1,6},{5,2,1,1,1}}		{{4,3,2,1,50},{5,2,1,2,1}}		1801000	Task01/Task01_02.Task01_02	{4000010}	600		1	1			
10103	0	10103	1	{{2,50152}}	{0,6}	{{9},{2,1},{1,300}}	{4009013,4001004,400100301}	1	0			0	0	10104	6	400			{}	{1020}	{1034}		{{4,3,1,1,600},{4,3,3,1,6},{5,1,1,1,1}}		{{4,3,2,1,50},{5,1,1,2,1}}		1801000	Task01/Task01_03.Task01_03	{4000010}	600			1			
