xxx_3836936352	A	A	A	A	A	A	A	A	A
ID	Tag	Difficult	Type	Condition	Level	StarAward	Picture	PictureDLC	LevelSort
1		1	1	{{2,51478},{2,51501},{2,51578},{2,51513},{2,51550}}	{10101,10102,10103,10104,10105,10106,10107,10108,10109,50101,50151,50152,50153,50154,50155}	{{9,{{4,3,1,1,3000},{5,1,1,3,1}}},{18,{{4,3,1,1,5000},{5,2,1,3,1}}},{27,{{4,3,2,1,60},{4,3,1,1,7000},{5,1,1,3,1},{5,2,1,3,1}}}}	1800027		{50151,10101,10102,50152,10103,10104,50153,10105,50154,10106,10107,50155,10108,10109,50101}
2		1	1	{{1,1},{2,50101}}	{10201,10202,10203,10204,10205,10206,10207,10208,10209,10210,10211,10212,50201,50251,50252,50253,50255,50256,50257}	{{12,{{4,3,1,1,3000},{5,1,1,3,2}}},{24,{{4,3,1,1,5000},{5,2,1,3,2}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,1,1,3,2},{5,2,1,3,2}}}}	1800028		{50251,50252,10201,10202,10203,50253,10204,10205,10206,50255,10207,10208,10209,50256,10210,10211,10212,{50257,50201}}
3		1	1	{{1,10},{2,50257}}	{50351,10301,10302,10303,10304,10305,10306,10307,10308,10309,10310,10311,10312,50351,50352,50353,50354,50355,50356}	{{12,{{4,3,1,1,3000},{5,1,1,3,2}}},{24,{{4,3,1,1,5000},{5,2,1,3,2}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,1,1,3,2},{5,2,1,3,2}}}}	1800029		{50351,10301,50352,10302,10303,50353,10304,10305,10306,50354,10307,10308,10309,50355,10310,10311,10312,50356}
4		1	1	{{1,15},{2,50356}}	{10401,10402,10403,10404,10405,10406,10407,10408,10409,10410,10411,10412,50451,50452,50453,50454,50455,50456,50457,50458}	{{12,{{4,3,1,1,3000},{5,1,1,4,1}}},{24,{{4,3,1,1,5000},{5,2,1,4,1}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,1,1,4,1},{5,2,1,4,1}}}}	1800030		{50451,10401,50452,10402,10403,10404,50453,10405,10406,50454,10407,10408,10409,50455,10410,10411,50456,10412,50457,50458}
5		1	1	{{1,20},{2,50458}}	{10501,10502,10503,10504,10505,10506,10507,10508,10509,10510,10511,10512,50501,50551,50552,50553,50554,50555,50556}	{{12,{{4,3,1,1,3000},{5,1,1,4,2}}},{24,{{4,3,1,1,5000},{5,2,1,4,2},{5,3,1,4,2}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800031		{50551,10501,10502,10503,50552,{10504,50501},10505,10506,50553,10507,10508,10509,50554,10510,10511,50555,10512,50556}
6		1	1	{{1,30},{2,50556}}	{50651,10601,10602,10603,10604,10605,10606,10607,10608,10609,10610,10611,10612,50601,50652,50653,50654,50655,50656}	{{12,{{4,3,1,1,3000},{5,1,1,4,2}}},{24,{{4,3,1,1,5000},{5,2,1,4,2},{5,3,1,4,2}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800032		{50651,10601,10602,10603,50652,10604,10605,10606,50653,10607,10608,10609,50654,10610,10611,50655,10612,{50656,50601}}
7		1	1	{{1,30},{2,50656}}	{50751,10701,10702,10703,50752,10704,10705,10706,50753,10707,10708,10709,50754,10710,10711,50755,10712,50756,50757}	{{12,{{4,3,1,1,3000},{5,1,1,4,2}}},{24,{{4,3,1,1,5000},{5,2,1,4,2},{5,3,1,4,2}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800033		{50751,10701,10702,10703,50752,10704,10705,10706,50753,10707,10708,10709,50754,10710,10711,50755,10712,50756,50757}
8		1	1	{{1,30},{2,50757}}	{50851,10801,50852,10802,10803,50853,10804,10805,10806,50854,10807,10808,10809,50855,10810,10811,50856,10812,50857,50801}	{{12,{{4,3,1,1,3000},{5,1,1,4,2}}},{24,{{4,3,1,1,5000},{5,2,1,4,2},{5,3,1,4,2}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800034		{50851,10801,50852,10802,10803,50853,10804,10805,10806,50854,10807,10808,10809,50855,10810,10811,50856,10812,{50857,50801}}
9		1	1	{{1,30},{2,50857}}	{50951,50901,10901,10902,10903,10904,10905,10906,10907,10908,10909,10910,10911,10912,50952,50953,50954,50955,50956,50957,50958}	{{12,{{4,3,1,1,3000},{5,1,1,4,3}}},{24,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800035		{{50951,50901},10901,50952,10902,10903,50953,10904,10905,10906,50954,10907,10908,10909,50955,10910,10911,50956,10912,50957,50958}
10		1	1	{{1,30},{2,50958}}	{51051,51001,11001,11002,11003,11004,11005,11006,11007,11008,11009,11010,11011,11012,51052,51053,51054,51055,51056,51057,51058}	{{12,{{4,3,1,1,3000},{5,1,1,4,3}}},{24,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800036		{51051,51052,11001,51053,11002,11003,51054,11004,11005,51055,11006,11007,11008,51056,11009,11010,11011,51057,11012,51058,51001}
11		1	1	{{1,30},{2,51058}}	{51151,11101,51152,11102,11103,51153,11104,11105,51154,11106,51155,11107,11108,51156,11109,51157,11110,11111,51158,11112,51159,51160,51101,51102}	{{12,{{4,3,1,1,3000},{5,1,1,4,3}}},{24,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800037		{51151,11101,51152,11102,11103,51153,11104,11105,51154,11106,{51155,51101},11107,11108,{51156,51102},11109,51157,11110,11111,51158,11112,51159,51160}
12		1	2	{{1,30},{2,51160}}	{51251,11201,11202,51252,11203,51253,11204,11205,51254,11206,11207,51255,11208,11209,51256,11210,51257,11211,11212,51258,51201}	{{12,{{4,3,1,1,3000},{5,1,1,4,3}}},{24,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{36,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800038		{51251,11201,11202,51252,11203,51253,11204,11205,51254,11206,11207,51255,11208,11209,51256,11210,51257,11211,11212,{51258,51201}}
13	1	1	1	{{1,30},{2,51258}}	{51261,11221,51262,11222,51263,11223,11224,51264,51211,11225,51265,11226,51266,11227,51267,11228,11229,51268,51212}	{{9,{{4,3,1,1,3000},{5,1,1,4,3}}},{18,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{27,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800039		{51261,11221,51262,11222,51263,11223,11224,{51264,51211},11225,51265,11226,51266,11227,51267,11228,11229,{51268,51212}}
14	2	1	1	{{1,30},{2,51268}}	{51271,11231,11232,51272,11233,51273,11234,51274,11235,51275,11236,51276,11237,51277,11238,11239,51278,51221}	{{9,{{4,3,1,1,3000},{5,1,1,4,3}}},{18,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{27,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800040		{51271,11231,11232,51272,11233,51273,11234,51274,11235,51275,11236,51276,11237,51277,11238,11239,{51278,51221}}
15		1	2	{{1,30},{2,51278}}	{51351,11301,51352,11302,51353,11303,51301,11304,51354,11305,51355,11306,51302,11307,51356,11308,51357,51303}	{{8,{{4,3,1,1,3000},{5,1,1,4,3}}},{16,{{4,3,1,1,5000},{5,2,1,4,3},{5,3,1,4,3}}},{24,{{4,3,2,1,60},{4,3,1,1,7000},{5,9,1,2,5}}}}	1800041		{51351,11301,51352,11302,51353,11303,51301,11304,51354,11305,51355,11306,51302,11307,51356,11308,51357,51303}
