xxx_3835764723	A	A	A	A	A	A	A	A	A	A	A
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable
1	公司的走廊，忽然变得繁忙拥挤起来。	公司的走廊，忽然變得繁忙擁擠起來。	会社の廊下にたくさんの人が集まってきた。	그때 회사 복도가 갑자기 북적이기 시작했다.	The company hallways, once quiet, suddenly came alive with movement and chatter.						0
2	这次，需要麻烦大家了。	這次，需要麻煩大家了。	みなさん、ご迷惑をおかけします。	이번엔 여러분에게 부탁 좀 할게요.	Thank you so much for helping, everyone.						0
3	不会不会！	不會不會！	いえいえ！	아닙니다!	Don't mention it! Our pleasure!						0
4	没错，一点都不麻烦！	沒錯，一點都不麻煩！	迷惑なんてそんな！	맞아요, 전혀 번거롭지 않습니다!	Yeah! It's the least we can do!						0
5	恩雅小姐在工作方面给了我们很多帮助，现在好不容易有了帮到你的机会，我们肯定不会让你失望。	恩雅小姐在工作上給了我們很多幫助，現在好不容易有了幫到你的機會，我們絕對不會讓你失望。	いつもエンヤさんに助けられてばっかりです。そんなエンヤさんを助けられるチャンスが来たんですから、気にしないでください！	엔야 님께서 일적으로 저희를 많이 도와주셨잖아요. 이제야 보답할 기회가 생겼는데 최선을 다해야죠!	Miss Enya, you've done so much for us. Now that we finally get the chance to return the favor, there's no way we'd say no! We'll give it our all!						0
6	是呀是呀！	對啊對啊！	そうそう！	맞아요!	Yeah, we've got this!						0
7	我站在恩雅的身后，看着公司的员工们踊跃挤进来，参与报名。	我站在恩雅的身後，看著公司的員工踴躍擠進來，參與報名。	私はエンヤの後ろに立って、なだれ込んでくる職員たちが参加を志願する光景を眺めていた。	나는 엔야의 뒤에서 열정적으로 모여드는 직원들의 모습을 지켜보았다.	I stood behind Enya, watching as Yggdrasil staff eagerly stepped forward, voices overlapping as they rushed to sign up.						0
8	她们领完工具、材料，就风风火火投入到建设之中。	她們領完工具、材料，就風風火火投入建設之中。	道具や素材を手に取ると、職員たちはすぐに作業を開始した。	그녀들은 도구와 자재를 받아 들고 빠르게 제작 작업에 뛰어들었다.	As soon as they received their tools and materials, they dove right into work with great enthusiasm.						0
9	恩雅笑眯眯转过身看向我。	恩雅笑瞇瞇轉過身看向我。	エンヤは笑顔のまま私に振り返る。	엔야는 밝게 웃으며 나를 돌아보았다.	Enya turned back to me, smiling mischievously.						0
10	分析员，好像看呆啦。	分析員，好像看呆了啊。	分析員、ボーっとしてます？	분석가, 멍하니 바라보고 있네?	Adjutant... you're staring.						0
11	是啊，是看呆了。	是啊，是看呆了。	ああ、そうだな。	그러게요. 멍하니 바라보게 되네요.	Yeah... I guess I am.						0
12	我回过神来，望着近在咫尺的少女。	我回過神，望著近在咫尺的少女。	私は我に返って、エンヤのほうを見た。	나는 정신을 차리고 눈앞의 소녀를 바라보았다.	I blinked, snapping out of it and refocusing my gaze on the girl standing right before me.						0
13	恩雅的魅力，还真是惊人。	恩雅的魅力，還真是驚人。	エンヤの魅力はすごいな。	엔야의 매력은… 정말 놀랍네요.	Your personal charisma is truly remarkable, Enya.						0
14	我能看出，那些人都是自发响应恩雅的号召。没有一个人表现出像是被命令的不情愿。	我看得出，那些人都是自發的響應恩雅的號召。沒有一個人表現出像是被命令的不情願。	ここに来た全員が、エンヤの協力要請を受けて、自発的に集まったんだろう。みんなの顔から命令されて嫌そうな表情なんてひとつも見当たらなかった。	그 사람들이 자발적으로 엔야의 부탁에 응했다는 건 쉽게 알 수 있었다. 하기 싫은 걸 명령받은 듯한 억지스러움은 단 한 점도 없었기 때문이다.	It was clear — those people weren't simply following orders. They were here because they genuinely wanted to help Enya.						0
